"","nest_id","nest_area","lat","long","x","y"
"145","171G","171",4973244,642810,4973244,642810
"146","453B","453",4867555,360548,4867555,360548
"147","121C","121",4942090,636171,4942090,636171
"148","454A","454",4877520,390304,4877520,390304
"149","422C","422",4917901,521665,4917901,521665
"150","354A","354",4984464,505134,4984464,505134
"151","573A","573",4926332,540970,4926332,540970
"152","644A","644",4841747,404410,4841747,404410
"153","522B","522",4872820,428904,4872820,428904
"154","310B","310",4911184,576476,4911184,576476
"155","387C","387",5048167,542164,5048167,542164
"156","327A","327",4940721,533356,4940721,533356
"157","143C","143",5090779,564592,5090779,564592
"158","623A","623",4934063,599119,4934063,599119
"159","343B","343",5151362,508268,5151362,508268
"160","368A","368",5120800,473207,5120800,473207
"161","574A","574",4891152,552734,4891152,552734
"162","523A","523",4924745,356745,4924745,356745
"163","502B","502",4923214,586468,4923214,586468
"164","443C","443",4915562,442017,4915562,442017
"165","193E","193",4901474,513234,4901474,513234
"166","605A","605",4967687,654563,4967687,654563
"167","350A","350",5044900,568921,5044900,568921
"168","458A","458",4924844,550999,4924844,550999
"169","348C","348",5167251,514359,5167251,514359
"170","309B","309",5045840,401476,5045840,401476
"171","467A","467",4997623,565079,4997623,565079
"172","507B","507",4972727,639408,4972727,639408
"173","145D","145",4924366,578807,4924366,578807
"174","037J","037",4923840,567046,4923840,567046
"175","263C","263",4964746,646820,4964746,646820
"176","567A","567",4962178,341342,4962178,341342
"177","541C","541",4896196,438944,4896196,438944
"178","738A","738",4999601,589101,4999601,589101
"179","579B","579",4857556,455801,4857556,455801
"180","314G","314",4901841,541562,4901841,541562
"181","148D","148",4929710,609022,4929710,609022
"182","326B","326",4889554,533496,4889554,533496
"183","581A","581",4981321,600557,4981321,600557
"184","006B","006",4891874,439961,4891874,439961
"185","233A","233",4983289,650833,4983289,650833
"186","382B","382",4955989,484113,4955989,484113
"187","225B","225",4977094,354759,4977094,354759
"188","248B","248",5064660,540034,5064660,540034
"189","533A","533",4993463,567024,4993463,567024
"190","353D","353",4993152,628817,4993152,628817
"191","340E","340",4903437,506251,4903437,506251
"192","128C","128",4942550,623870,4942550,623870
"193","580B","580",4893912,428325,4893912,428325
"194","254G","254",4899510,560133,4899510,560133
"195","023H","023",4886982,551290,4886982,551290
