"","nest_id","nest_area","lat","long","x","y"
"632","313D","313",4883013,550718,4883013,550718
"633","316E","316",4856892,427034,4856892,427034
"634","725A","725",4963076,409173,4963076,409173
"635","536A","536",5227985,578066,5227985,578066
"636","235C","235",5143339,485473,5143339,485473
"637","594A","594",5134840,500675,5134840,500675
"638","543A","543",4999095,469856,4999095,469856
"639","499B","499",4870576,480960,4870576,480960
"640","301C","301",5003957,422456,5003957,422456
"641","622A","622",5165203,544975,5165203,544975
"642","588B","588",4851609,426725,4851609,426725
"643","166B","166",4930891,519231,4930891,519231
"644","380B","380",4981665,430816,4981665,430816
"645","498C","498",5050439,535971,5050439,535971
"646","484A","484",5127931,460203,5127931,460203
"647","737A","737",5005170,560482,5005170,560482
"648","352C","352",4935200,617235,4935200,617235
"649","194B","194",4970280,659272,4970280,659272
"650","016G","016",4891356,501534,4891356,501534
"651","008J","008",4877455,436398,4877455,436398
"652","436A","436",5054622,408952,5054622,408952
"653","231E","231",4974856,459182,4974856,459182
"654","669B","669",4893130,551275,4893130,551275
"655","546C","546",4928450,574313,4928450,574313
"656","092H","092",5066150,456469,5066150,456469
"657","460A","460",4998727,529564,4998727,529564
"658","094D","094",4940119,513718,4940119,513718
"659","660A","660",4890357,493793,4890357,493793
"660","246C","246",4906821,543730,4906821,543730
"661","260B","260",5012877,610915,5012877,610915
"662","705A","705",4882567,464671,4882567,464671
"663","575B","575",4887423,533472,4887423,533472
