"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","active_2013","active_2014","active_2015","active_2016"
"522A",5220001,"intact",429153,4872952,NA,NA,NA,NA
"522B",5220002,"intact",428905,4872821,NA,NA,NA,NA
"009F",90006,"historic",433408,4873082,NA,NA,NA,NA
"009B",90002,"historic",433972,4872804,NA,NA,NA,NA
"009E",90005,"historic",433857,4872719,NA,NA,NA,NA
"204B",2040002,"intact",428558,4865804,NA,NA,NA,NA
"204C",2040003,"historic",429153,4865980,NA,NA,NA,NA
"010A",100001,"historic",431340,4871070,NA,NA,NA,NA
"010B",100002,"historic",431326,4871020,NA,NA,NA,NA
"010E",100005,"intact",431311,4870970,NA,NA,NA,NA
"009D",90004,"historic",436420,4874320,NA,NA,NA,NA
"009A",90001,"historic",435300,4874830,NA,NA,NA,NA
"009C",90003,"historic",435209,4874650,NA,NA,NA,NA
"008H",80008,"historic",434772,4876260,NA,NA,NA,NA
"008I",80009,"historic",435132,4876180,NA,NA,NA,NA
"008C",80003,"historic",437867,4876010,NA,NA,NA,NA
"008G",80007,"historic",435523,4876990,NA,NA,NA,NA
"008A",80001,"historic",435939,4877640,NA,NA,NA,NA
"008D",80004,"historic",436245,4877250,NA,NA,NA,NA
"008F",80006,"historic",436467,4878004,NA,NA,NA,NA
"008E",80005,"historic",436522,4877816,NA,NA,NA,NA
"008B",80002,"intact",436419,4877490,NA,NA,NA,NA
"008J",80010,"intact",436399,4877455,NA,NA,NA,NA
"607A",6070001,"intact",438869,4879681,NA,NA,NA,NA
"607B",6070002,"intact",438677,4879402,NA,NA,NA,NA
"007A",70001,"intact",436986,4880270,NA,NA,NA,NA
"007C",70003,"historic",437126,4880170,NA,NA,NA,NA
"007B",70002,"historic",436453,4879710,NA,NA,NA,NA
"007D",70004,"historic",436251,4879430,NA,NA,NA,NA
"597A",5970001,"intact",436707,4882003,NA,NA,NA,NA
"102B",1020002,"intact",438436,4883675,NA,NA,NA,NA
"102A",1020001,"historic",439231,4883940,NA,NA,NA,NA
"618A",6180001,"intact",438617,4885809,NA,NA,NA,NA
"192B",1920002,"intact",439070,4887360,NA,NA,NA,NA
"192A",1920001,"historic",439086,4887330,NA,NA,NA,NA
"601A",6010001,"intact",439111,4889031,NA,NA,NA,NA
"006B",60002,"intact",439962,4891875,NA,NA,NA,NA
"005B",50002,"historic",439421,4890980,NA,NA,NA,NA
"005C",50003,"historic",439359,4890880,NA,NA,NA,NA
"005D",50004,"intact",439363,4890910,NA,NA,NA,NA
"006A",60001,"historic",442656,4892090,NA,NA,NA,NA
"465A",4650001,"intact",454502,4896875,NA,NA,NA,NA
"541C",5410003,"intact",438945,4896197,NA,NA,NA,NA
"317A",3170001,"historic",447566,4906387,NA,NA,NA,NA
"317B",3170002,"intact",447488,4906476,NA,NA,NA,NA
"004C",40003,"intact",436616,4902570,NA,NA,NA,NA
"004B",40002,"historic",436657,4902860,NA,NA,NA,NA
"004A",40001,"historic",437344,4903150,NA,NA,NA,NA
"630A",6300001,"historic",416115,4898501,NA,NA,NA,NA
"333B",3330002,"historic",421881,4902800,NA,NA,NA,NA
"333A",3330001,"intact",421902,4902780,NA,NA,NA,NA
"333C",3330003,"historic",422394,4901625,NA,NA,NA,NA
"003A",30001,"historic",422475,4898700,NA,NA,NA,NA
"003C",30003,"intact",425194,4898910,NA,NA,NA,NA
"568A",5680001,"intact",439803,4911066,NA,NA,NA,NA
