"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","045B","045","Yes",2013,2013,2013,2005,"Parritt Point","","coastal","Washington","ME","C","","dominant","",581852.089899,4927008.65792,-67.9705309803001,44.4917545536698
"","","046F","046","Yes",2014,2014,2014,2005,"Middle Douglas Island","","coastal","Washington","ME","C","","dominant","",591464.545946,4922634.04819,-67.8504295807003,44.4512253502404
"","","047A","047","Yes",2013,2013,2013,1968,"Shipstern Island","","coastal","Washington","ME","C","8/16/1977","dominant","",595287.132003,4925142.58236,-67.8019339734994,44.4733105781496
"","","048H","048","Yes",2013,2013,2013,2013,"Strout Island","","coastal","Washington","ME","C","","dominant","",595078.809,4930127.2148,-67.8036355913532,44.518203504931
"","","049H","049","Yes",2013,2013,2013,2004,"Mink Island","","coastal","Washington","ME","C","","","",598041.766292,4932754.73887,-67.7658621852242,44.5414561766242
"","","051F","051","Yes",2013,2013,2013,2002,"Ram Island","","coastal","Washington","ME","C","","dominant","Nest tree leader is dead above nest level.",602873.909657,4927230.33396,-67.7061517455633,44.4910609787305
"","","052J","052","Yes",2013,2013,2013,2008,"Inner Goose Island","","coastal","Washington","ME","C","","","",605786.669,4931013.032,-67.6687527676812,44.5246854759893
"","","053E","053","Yes",2013,2013,2013,2013,"Little Hardwood Island","","coastal","Washington","ME","C","","dominant","",614744.9547,4928146.6324,-67.5566905236212,44.4975189019991
"","","054C","054","Yes",2013,2013,2013,2007,"Mark Island","","coastal","Washington","ME","C","","dominant","",616430.07,4931964.481,-67.5346403123896,44.5316087966061
"","","055D","055","Yes",2013,2013,2013,1998,"Anguilla Island","","coastal","Washington","ME","C","","dominant","",621291.157673,4936130.3984,-67.472500595441,44.568298494236
"","","056G","056","Yes",2013,2013,2013,2009,"Little Ram Island","","coastal","Washington","ME","C","","","",617228.983675,4941095.84235,-67.5225090461332,44.6136580536303
"","","057E","057","Yes",2013,2013,2013,2004,"Salt Island","","coastal","Washington","ME","C","","dominant","",629552.967306,4947117.51843,-67.365723286785,44.6657314894099
"","","058E","058","Yes",2013,2013,2013,1986,"Meserve Head vicinity","","coastal","Washington","ME","C","","","",623284.500742,4952350.39811,-67.4435075322687,44.7139266816344
"","","059D","059","Yes",2013,2013,2013,2001,"Hadley Lake inlet","","interior","Washington","ME","C","","dominant","",620176,4962250,-67.480405281278,44.8035426622918
"","","060D","060","Yes",2013,2013,2013,2011,"Gardner Lake island","","interior","Washington","ME","C","","dominant","",629709.230218,4960465.25397,-67.3603624884138,44.7858152246987
"","","062C","062","Yes",2013,2013,2013,1979,"Whiting Bay upland","","coastal","Washington","ME","C","6/18/1980","supercanopy","",644360.066543,4962920.95972,-67.1745555407258,44.8051024223735
"","","063E","063","Yes",2013,2013,2013,2010,"Burnt Cove islet","","coastal","Washington","ME","C","","dominant","",646029.895656,4966314.23683,-67.1524762125077,44.8352941341055
"","","064A","064","Yes",2013,2013,2013,1964,"Birch Islands","","coastal","Washington","ME","C","","dominant","",646093,4970300,-67.1505304170084,44.8711429823304
"","","065D","065","Yes",2013,2013,2013,1997,"Wilbur Neck","","coastal","Washington","ME","C","","dominant","",645299,4973360,-67.1596989967458,44.8988375192369
"","","066F","066","Yes",2013,2013,2013,1983,"Clark Point vicinity","","coastal","Washington","ME","C","","dominant","",640793,4974460,-67.2164360555062,44.9096402437676
"","","067I","067","Yes",2013,2013,2013,2005,"Coggins Head","","coastal","Washington","ME","C","","dominant","",646722.878,4976759.292,-67.1406878728237,44.9291300576786
"","","068C","068","Yes",2013,2013,2013,2006,"Mink Island","","coastal","Washington","ME","C","","dominant","",649018.014474,4971958.12676,-67.1130332570417,44.885455984449
"","","069E","069","Yes",2013,2013,2013,2001,"Sipp Bay shoreline","","coastal","Washington","ME","C","","","",648337.668783,4978183.41567,-67.1198175530549,44.9416082314099
"","","070D","070","Yes",2013,2013,2013,2002,"Horan Head","","coastal","Washington","ME","C","","","",653035,4969500,-67.0629384887962,44.8624886990918
"","","071D","071","Yes",2013,2013,2013,1997,"Boyden Lake outlet","","interior","Washington","ME","C","","","",648056.60765,4983926.3541,-67.1216919732321,44.9933368236627
"","","072F","072","Yes",2013,2013,2008,2001,"Nashs Lake outlet vicinity","","interior","Washington","ME","C","","dominant","",639110,4999360,-67.230857505307,45.1340116744798
"","","073F","073","Yes",2013,2013,2013,1990,"","","interior","Washington","ME","C","","","",634742.895521,5000734.98899,-67.2860004413498,45.1472300658797
"","","074D","074","Yes",2013,2013,2013,2004,"","","interior","Washington","ME","C","","dominant","",612957.14386,4994678.12311,-67.5643986274923,45.0965474425299
"","","075D","075","Yes",2013,2013,2013,1998,"","","interior","Hancock","ME","F","","dominant","",557527.505249,4987371.32292,-68.2696211199013,45.0374611621135
"","","076D","076","Yes",2013,2013,2013,2007,"","","interior","Hancock","ME","F","","dominant","",567128.182696,4988744.61529,-68.1475582901997,45.048977446416
"","","077B","077","Yes",2013,2013,2009,1994,"","","interior","Washington","ME","C","","dominant","",586783.64572,4996925.57996,-67.8965835304484,45.1204715845702
"","","080C","080","Yes",2013,2013,2012,1998,"","","interior","Washington","ME","C","","dominant","",603011,5000600,-67.689552283166,45.1513595129339
"","","081C","081","Yes",2013,2013,2013,1985,"","","interior","Penobscot","ME","F","","dominant","",582699,5013280,-67.9457946518846,45.2681528742449
"","","083D","083","Yes",2013,2013,2013,2002,"Todd Farm vicinity","","interior","Washington","ME","C","","dominant","",610757.200726,5033217.20493,-67.5837492803895,45.4436994512084
"","","084D","084","Yes",2013,2013,2013,1993,"Pine Island","","interior","Washington","ME","F","","dominant","",590723.138803,5037803.08452,-67.8390188646785,45.4878581886806
"","","085G","085","Yes",2013,2013,2013,2013,"","","interior","Washington","ME","F","","dominant","",589422.05718,5052089.76251,-67.8530528611169,45.6165955833083
"","","088H","088","Yes",2013,2013,2013,2013,"","","interior","Piscataquis","ME","F","","dominant","",494786.1703,5077474.4389,-69.0671537809429,45.8508151246916
"","","089B","089","Yes",2013,2013,2013,1977,"","","interior","Piscataquis","ME","F","8/22/1977","supercanopy","Nest tree leader is dead above nest level.",503880.666794,5067206.808,-68.9500998387662,45.7584085715114
"","","090A","090","Yes",2014,2014,2013,1967,"","","interior","Piscataquis","ME","G","7/10/1980","supercanopy","",476379.101146,5128093.75632,-69.3067476821604,46.3060084007707
