"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","211D","211","Yes",2014,2014,2014,2010,"Little River Island","","coastal","Washington","ME","C","","dominant","",643164.547413,4945765.15364,-67.1944755588884,44.6509773298898
"","","212C","212","Yes",2014,2014,2014,2013,"","","coastal","Lincoln","ME","B","","dominant","",450436.8553,4874908.5287,-69.6184600390247,44.0256579609268
"","","213A","213","Yes",2013,2013,2013,1993,"","","interior","Penobscot","ME","F","","","",528843.342189,5009476.40098,-68.6325129894202,45.2381889081933
"","","214D","214","Yes",2013,2013,2013,2000,"","","interior","Penobscot","ME","F","","","",531844.739994,5052586.66843,-68.5914837893877,45.6260956579166
"","","215D","215","Yes",2013,2013,2013,2010,"Fog Island","","coastal","Knox","ME","C","","","",534113.71051,4883141.08793,-68.5737835508683,44.1006578565418
"","","216C","216","Yes",2013,2013,2013,2007,"Umsaskis Lake upland","","interior","Aroostook","ME","G","","","",471750,5158406,-69.3686970069414,46.5786251394465
"","","217C","217","Yes",2013,2013,2013,2004,"Hodgdon Island","","coastal","Lincoln","ME","B","","","",453879.59,4860677.519,-69.5742675385507,43.8977589762031
"","","218A","218","Yes",2013,2013,2013,1993,"Inner Talbot Island","","coastal","Washington","ME","C","","","",648500.675358,4968927.84797,-67.1204685348887,44.8582997594663
"","","219B","219","Yes",2013,2013,2013,1994,"","","interior","Oxford","ME","D","","","",338830,4961490,-71.0374268752548,44.7886342706318
"","","220B","220","Yes",2014,2014,2014,2003,"Penobscot River shoreline","","coastal","Penobscot","ME","B","","","",512515.344,4950254,-68.8420137377556,44.7055525002623
"","","222D","222","Yes",2013,2013,2013,2006,"Rocky Lake islet","","interior","Washington","ME","C","","","",621135.982759,4968676.68988,-67.466737837024,44.8612140940673
"","","224C","224","Yes",2013,2013,2013,2002,"Cape Wash Island","","coastal","Washington","ME","C","","","",638795,4943200,-67.2502502963384,44.6287530843763
"","","225B","225","Yes",2013,2013,2013,2011,"Shelter Island","","interior","Oxford","ME","D","","","",354759,4977094,-70.8406393260522,44.9324456836879
"","","226D","226","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","dominant","",550108.1525,5213391.6953,-68.3400141683679,47.0721360408373
"","","227C","227","Yes",2013,2013,2013,2002,"","","interior","Aroostook","ME","G","","dominant","",555464,5223550,-68.2682245713986,47.1631106859572
"","","228F","228","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","dominant","",538117.2409,5186594.6227,-68.5001920008174,46.8318039074376
"","","229F","229","Yes",2013,2013,2013,2009,"Bear Island","","coastal","Hancock","ME","C","","","",532902.266,4896361.55,-68.5880916653134,44.219737451017
"","","230B","230","Yes",2013,2013,2013,2012,"","","interior","Oxford","ME","A","","dominant","",346507.972005,4891173.84493,-70.9195624722167,44.1576445555468
"","","231E","231","Yes",2014,2014,2013,2013,"Round Island","","interior","Somerset","ME","B","","dominant","",459182.3272,4974856.1161,-69.5172245483249,44.9259641412831
"","","232C","232","Yes",2013,2013,2013,2013,"Hog Island","","coastal","Washington","ME","C","","dominant","",632231.6125,4949040.0884,-67.3314505239835,44.6825435189647
"","","233A","233","Yes",2013,2013,2013,1994,"Boyden Stream upland","","coastal","Washington","ME","C","","","",650833.00976,4983289.55447,-67.0866795483789,44.9870229804923
"","","234A","234","Yes",2013,2013,2013,1994,"Columbus Island","","interior","Washington","ME","C","","","",589704,5009610,-67.8571782460561,45.2342648006044
"","","235C","235","Yes",2013,2013,2013,2004,"Spider Lake inlet","","interior","Piscataquis","ME","G","","","",485473,5143339,-69.1891256415868,46.4434668913086
"","","236D","236","Yes",2013,2013,2013,2004,"","","interior","Penobscot","ME","F","","","",524899.786,5051810.812,-68.6806143158908,45.6193961716348
"","","238B","238","Yes",2013,2013,2011,2007,"George's Drive shoreline","","coastal","Knox","ME","B","","","",484111.849,4870212.568,-69.1981202711063,43.9848799416572
"","","239B","239","Yes",2014,2014,2014,2003,"","","interior","Hancock","ME","C","","","",561022,4978010,-68.2263929647927,44.952906505651
"","","240C","240","Yes",2013,2013,2013,2012,"Tibbett Island","","coastal","Lincoln","ME","B","","dominant","",446788.845035,4863291.71544,-69.6628135277758,43.92081694444
"","","241A","241","Yes",2014,2014,2014,1995,"Lookout Point vicinity","","coastal","Hancock","ME","C","","","",560203.991351,4919077.19425,-68.2436974968268,44.4224850500958
"","","242B","242","Yes",2013,2013,2013,2005,"Pinkham Island","","coastal","Washington","ME","C","","","",592470.779913,4932978.36133,-67.8359341238639,44.5442051308509
"","","244B","244","Yes",2014,2014,2014,1999,"Pinewood Drive shoreline","","interior","Kennebec","ME","B","","","",434628.102217,4923485.60012,-69.8217732182,44.4617207112811
"","","245B","245","Yes",2013,2013,2013,2005,"","","interior","Penobscot","ME","F","","","",505551.805,5052697.088,-68.9287772296148,45.627797742818
"","","246C","246","Yes",2013,2013,2013,2010,"Hardwood Island","","coastal","Hancock","ME","C","","","",543730.953843,4906821.34367,-68.4516563806968,44.3133343527948
"","","248B","248","Yes",2013,2013,2013,1996,"","","interior","Penobscot","ME","F","","dominant","",540034,5064660,-68.4854375870589,45.7343375750227
"","","249D","249","Yes",2013,2013,2013,2008,"Green Islands","","coastal","Lincoln","ME","B","","dominant","",445307.930967,4854714.76916,-69.6803795560887,43.8434897048262
"","","250B","250","Yes",2013,2013,2013,2007,"Ram Island","","coastal","Waldo","ME","B","","dominant","",506078.489,4909118.743,-68.9237531746634,44.3353085183712
"","","251D","251","Yes",2014,2014,2013,2007,"","","interior","Kennebec","ME","B","","dominant","",455926.234,4934949.843,-69.5550341571445,44.5665374240004
"","","252F","252","Yes",2013,2013,2013,2012,"Upper Dam vicinity","","interior","Oxford","ME","D","","dominant","",354274.541526,4970429.64739,-70.8448563703416,44.8723847212236
"","","254G","254","Yes",2013,2013,2013,2013,"Fish Point vicinity","","coastal","Hancock","ME","C","","co-dominant","",560133.8407,4899510.193,-68.2468367061181,44.2463448407176
"","","256C","256","Yes",2013,2013,2013,1996,"","","interior","Washington","ME","C","","dominant","",610148,5007880,-67.5971774608496,45.2157940580022
"","","257A","257","Yes",2013,2013,2013,1995,"Doughty Island","","coastal","Cumberland","ME","A","","","",424531.249648,4854356.64688,-69.9387652425705,43.8384347878862
"","","258A","258","Yes",2013,2013,2013,1995,"","","interior","Penobscot","ME","F","","","",577161.97162,5017849.86416,-68.0156558722747,45.3099119352728
"","","259D","259","Yes",2013,2013,2013,2013,"","","interior","Washington","ME","C","","dominant","",604823.8187,5005497.3918,-67.6654677335115,45.1951652538196
"","","260B","260","Yes",2013,2013,2013,2009,"","","interior","Washington","ME","C","","","",610915.618,5012877.911,-67.5862891659592,45.2606488156969
"","","262C","262","Yes",2013,2013,2013,2012,"West River Road upland, North Sidney","","coastal","Kennebec","ME","B","","dominant","",445217.379874,4924264.99473,-69.688751138894,44.469617055521
"","","263C","263","Yes",2013,2013,2013,2013,"Freds Islands","","coastal","Washington","ME","C","","dominant","",646820.1347,4964746.1161,-67.1429368405882,44.821022882419
"","","264A","264","Yes",2013,2013,2013,1996,"","","interior","Piscataquis","ME","E","","dominant","",481438,5082150,-69.2392568610744,45.892666997833
"","","265B","265","Yes",2013,2013,2013,2013,"Browney Island","","coastal","Washington","ME","C","","dominant","",609773.8369,4924123.1267,-67.6200547883592,44.4620797793272
"","","266B","266","Yes",2013,2013,2009,2009,"","","interior","Washington","ME","C","","dominant","",628353.644797,4999664.07603,-67.3675162198322,45.1387846070052
"","","267B","267","Yes",2013,2013,2013,2004,"Bois Bubert Island","","coastal","Washington","ME","C","","dominant","",591111.135401,4919733.85448,-67.855380336677,44.425165275944
"","","268C","268","Yes",2013,2013,2013,2008,"Lanes Island","","coastal","Cumberland","ME","A","","dominant","",409271.589,4849369.794,-70.127703566543,43.7918261699962
"","","269B","269","Yes",2013,2013,2013,2000,"","","interior","Penobscot","ME","F","","dominant","",549041,5042790,-68.3718788141227,45.5369192943515
"","","270F","270","Yes",2013,2013,2013,2009,"","","interior","Waldo","ME","B","","dominant","",474395.587066,4942317.66546,-69.3228161182402,44.6337591009284
"","","271C","271","Yes",2014,2014,2014,2013,"","","interior","Waldo","ME","B","","dominant","",500682.6266,4931649.9663,-68.9914076498604,44.5381781598693
"","","272C","272","Yes",2014,2014,2014,2005,"Middle Road shoreline","","coastal","Lincoln","ME","B","","","",440345.960171,4881756.40439,-69.745139569909,44.0865561462175
"","","273B","273","Yes",2013,2013,2013,2007,"","","coastal","Washington","ME","C","","","",637532.942,5004296.068,-67.2495448234806,45.178732693752
"","","274B","274","Yes",2014,2014,2014,1999,"","","interior","Androscoggin","ME","A","","","",403719.923798,4892036.87542,-70.2044344302292,44.1751946811321
"","","276D","276","Yes",2013,2013,2013,2003,"Greens Island - Heron Neck","","coastal","Knox","ME","B","","","",510898,4874960,-68.8640075199357,44.0277142718923
"","","277B","277","Yes",2013,2013,2013,2013,"","","interior","Penobscot","ME","C","","dominant","",528591.854,4972949.7712,-68.6378000003501,44.9093999996438
"","","278C","278","Yes",2014,2014,2014,2014,"","","interior","Kennebec","ME","B","","","",453281.957,4939182.598,-69.5887170971899,44.6044744632367
"","","279C","279","Yes",2013,2013,2009,2003,"","","interior","Aroostook","ME","G","","","",487782.529327,5158433.6207,-69.1594550123705,46.5793567126455
"","","280A","280","Yes",2013,2013,2013,1998,"","","interior","Piscataquis","ME","E","","","",440603.489443,5059186.69077,-69.7627423955404,45.6836859528757
"","","281A","281","Yes",2013,2013,2013,1994,"""Old"" Flagstaff Lake islands","","interior","Somerset","ME","D","","","",391353,5011110,-70.3844173409059,45.2450937831757
"Ellis","No","282A","282","Yes",2015,2015,2015,1998,"","","interior","Oxford","ME","D","","","",367667,4946617,-70.66920213,44.66072037
"","","283B","283","Yes",2013,2013,2013,2004,"","","interior","Washington","ME","F","","","",615181.894845,5048950.09306,-67.5234911121613,45.5845505682912
"","","286A","286","Yes",2013,2013,2013,1998,"Leland Point","","coastal","Hancock","ME","C","","","",555710.347586,4920714.29029,-68.2999678876314,44.4375822657122
"","","287B","287","Yes",2014,2014,2014,2005,"Little North Pond peninsula","","interior","Kennebec","ME","B","","","",432686.233,4940306.957,-69.8483772828476,44.6129628456703
"","","288C","288","Yes",2013,2013,2013,2013,"","","coastal","Washington","ME","C","","dominant","",614316.4407,4942105.3541,-67.558980713138,44.6232122614766
"","","289C","289","Yes",2013,2013,2013,2004,"","","interior","Penobscot","ME","F","","","",528210.629551,5054802.97609,-68.6379740850187,45.6462012605409
"","","290C","290","Yes",2013,2013,2013,2013,"Weasel Point area","","coastal","Sagadahoc","ME","A","","","",435574.7746,4850451.1092,-69.8009376321884,43.8043194096124
"","","291A","291","Yes",2013,2013,2013,1999,"","","interior","Somerset","ME","D","","","",429562,4957600,-69.8901295899817,44.7683240004673
"","","292C","292","Yes",2013,2013,2013,2009,"Outer Heron Island","","coastal","Lincoln","ME","B","","","",452885.334513,4847079.83703,-69.5854486621464,43.7752721302875
"","","293B","293","Yes",2013,2013,2013,1999,"","","coastal","Hancock","ME","C","","","",525725.931812,4912501.21501,-68.6771365490341,44.3653299156204
"","","294B","294","Yes",2013,2013,2013,2007,"Spectacle Island","","coastal","Knox","ME","B","","","",512025.605968,4883245.16146,-68.849747990639,44.1022910818638
"","","295C","295","Yes",2013,2013,2013,2013,"Ram Island","","coastal","Knox","ME","B","","dominant","",471539.6277,4868057.1935,-69.3547740668184,43.9650949301094
"","","297C","297","Yes",2013,2013,2013,2005,"Turtle Island","","coastal","Hancock","ME","C","","","",571927.076,4911705.688,-68.0974652758966,44.3550584071576
"","","298C","298","Yes",2013,2013,2013,2003,"Bare Island","","coastal","Washington","ME","C","","","",630234.198286,4945667.55724,-67.3575017549819,44.6525603605434
"","","299A","299","Yes",2013,2013,2013,2000,"","","interior","Aroostook","ME","F","","","",553518.342317,5058653.3872,-68.3127952978312,45.6793651177522
"","","300B","300","Yes",2013,2013,2013,2013,"Weymouth Point vicinity","","coastal","Hancock","ME","C","","dominant","",544694.7672,4926037.5877,-68.4379178419235,44.4862688714051
"","","301C","301","Yes",2013,2013,2013,2011,"Henhawk Island","","interior","Somerset","ME","D","","","",422456.081345,5003957.50634,-69.9870478144388,45.1848359164291
"","","302A","302","Yes",2013,2013,2013,2000,"","","interior","Somerset","ME","D","","","",396893.943652,5004160.28353,-70.3123923063333,45.1833856861328
"","","303C","303","Yes",2014,2014,2014,2009,"Outer Porcupine Island","","coastal","Hancock","ME","C","","","",518306.333,4894181.516,-68.7708943785987,44.2006230997335
"","","304D","304","Yes",2013,2013,2013,2007,"Tarbox Island","","interior","Penobscot","ME","F","","","",529629.101017,5004357.87199,-68.6228067267965,45.1920823773042
"","","305A","305","Yes",2014,2014,2014,2000,"","","interior","Penobscot","ME","C","","","",533399,4962870,-68.5775689879181,44.8184535709547
"","","306B","306","Yes",2013,2013,2013,2005,"Fernalds Neck shoreline","","interior","Waldo","ME","B","","","",491083.963815,4900927.63509,-69.1117002533361,44.2615345025503
"","","307C","307","Yes",2013,2013,2013,2006,"Roderick Head","","coastal","Hancock","ME","C","","","",544757.557,4890949.439,-68.4401411418567,44.1703819102547
"","","308C","308","Yes",2013,2013,2013,2012,"Webber Pond shoreline - 56 Birch Point Road","","interior","Kennebec","ME","B","","dominant","",448360.297787,4917316.8312,-69.6485473055597,44.4072994722194
"","","309B","309","Yes",2013,2013,2013,2003,"Attean Pond islet","","interior","Somerset","ME","E","","","",401476,5045840,-70.26240188318,45.5591235761692
"","","310B","310","Yes",2013,2013,2013,2010,"Rolling Island","","coastal","Hancock","ME","C","","","",576476.950507,4911184.75654,-68.0404580869436,44.3499038083628
"","","312C","312","Yes",2013,2013,2013,2005,"Grays Point area shoreline","","coastal","Hancock","ME","C","","","",521582.462197,4908814.33927,-68.7292897642638,44.3322726457848
"","","313D","313","Yes",2013,2013,2013,2010,"Southwest Point","","coastal","Hancock","ME","C","","","",550718.142664,4883013.7561,-68.366350652498,44.0985492764702
"","","314G","314","Yes",2013,2013,2013,2011,"Tinker Island","","coastal","Hancock","ME","C","","","",541562.485554,4901841.17221,-68.4792420507089,44.2686267661552
"","","315A","315","Yes",2013,2013,2013,2000,"Foster Island","","coastal","Washington","ME","C","","dominant","",592538.329452,4932185.24882,-67.8352263082033,44.5370578220436
"","","316C","316","Yes",2013,2013,2013,2005,"Bombazine Island","","coastal","Cumberland","ME","A","","dominant","",427913.128383,4856891.51601,-69.8970448281813,43.8615931058338
"","","317B","317","Yes",2013,2013,2013,2007,"South Belfast Avenue area - middle islet","","interior","Kennebec","ME","B","","dominant","",447487.792,4906475.725,-69.6584105989984,44.3096413397038
"","","318A","318","Yes",2013,2013,2013,2000,"","","interior","Penobscot","ME","F","","dominant","",513342.696305,4979116.85417,-68.8308112039552,44.965365273239
"","","319B","319","Yes",2013,2013,2013,2008,"","","interior","Penobscot","ME","C","","dominant","",520388.715,4953096.106,-68.7425123451293,44.7309572101266
"","","320B","320","Yes",2013,2013,2013,2013,"","","interior","Somerset","ME","E","","supercanopy","",419123.449,5074209.5739,-70.0410499895697,45.816706393776
"","","321B","321","Yes",2013,2013,2013,2001,"","","interior","Piscataquis","ME","G","","dominant","",453443,5140460,-69.6058184863468,46.4161086261999
"","","322A","322","Yes",2013,2013,2013,2000,"","","interior","Piscataquis","ME","G","","supercanopy","",482815.186941,5135326.88088,-69.223432607031,46.3712983181547
"","","323A","323","Yes",2013,2013,2013,2000,"","","interior","Penobscot","ME","F","","dominant","",540330,5029540,-68.4845335237809,45.4182176171396
"","","324B","324","Yes",2013,2013,2013,2000,"Outer Scott Island","","coastal","Hancock","ME","C","","dominant","",520668.246341,4903231.39603,-68.7409778452395,44.2820363902499
"","","325A","325","Yes",2014,2014,2013,2001,"","","coastal","Waldo","ME","B","","dominant","",513814.515965,4945630.3758,-68.8257386653536,44.6639049939625
"","","326B","326","Yes",2014,2014,2014,2001,"Shingle Island","","coastal","Hancock","ME","C","","dominant","",533496.574436,4889554.70792,-68.5810859054726,44.158428591408
"Branch","No","327A","327","Yes",2015,2015,2015,2001,"Teacher Island","","interior","Hancock","ME","C","","dominant","",533356,4940721,-68.57955927,44.61906743
"","","328B","328","Yes",2013,2013,2013,2006,"Moores Head","","coastal","Knox","ME","C","","dominant","",527668.813,4877002.761,-68.6546259931498,44.0456651037288
"","","329A","329","Yes",2013,2013,2013,2001,"Pop Island","","coastal","Washington","ME","C","","dominant","",585914.994219,4924791.56648,-67.9198082319181,44.4713262175919
"","","333B","333","Yes",2014,2014,2014,2002,"""Town Line"" Island","","interior","Kennebec","ME","B","","dominant","",421881,4902800,-69.9788859308062,44.2742518445959
"","","334A","334","Yes",2014,2014,2014,2001,"","","interior","Androscoggin","ME","A","","supercanopy","",410227.013538,4871635.38887,-70.1195794103267,43.9923768064216
"","","335C","335","Yes",2014,2014,2013,2010,"Hog Island","","coastal","Lincoln","ME","B","","dominant","",456575.856417,4873577.91877,-69.5417507412351,44.0140673353066
"","","336A","336","Yes",2013,2013,2013,2001,"","","interior","Waldo","ME","B","","dominant","",485676.473834,4915841.26995,-69.1798549387221,44.3957148154323
"","","337B","337","Yes",2013,2013,2013,2009,"","","interior","Aroostook","ME","G","","dominant","",587015.623724,5183018.12336,-67.8597912711893,46.7950302667631
"","","338C","338","Yes",2014,2014,2014,2003,"","","interior","Penobscot","ME","F","","supercanopy","",530762.504722,5018780.75881,-68.6074848513346,45.3218586791919
"","","339D","339","Yes",2014,2014,2014,2003,"Squaws Head","","coastal","Waldo","ME","B","","dominant","",511140,4921150,-68.860005226902,44.4435642981357
"","","340E","340","Yes",2013,2013,2013,2011,"","","coastal","Waldo","ME","B","","dominant","",506251.587427,4903437.77469,-68.9216499493333,44.2841612267864
"","","341D","341","Yes",2013,2013,2013,2011,"","","interior","Franklin","ME","B","","dominant","",416645.59637,4928206.17892,-70.0485539543586,44.5023618392493
"","","342C","342","Yes",2013,2013,2013,2013,"","","coastal","Washington","ME","C","","dominant","",612887.8748,4923067.2632,-67.5811507931905,44.4520973856389
"","","343B","343","Yes",2013,2013,2013,2008,"","","interior","Piscataquis","ME","G","","supercanopy","",508268.479288,5151362.06609,-68.8922107570645,46.5157767483405
"","","344B","344","Yes",2013,2013,2013,2006,"","","interior","Aroostook","ME","G","","dominant","",572794,5104203,-68.058414252882,46.0875239762823
"","","345C","345","Yes",2013,2013,2013,2009,"","","coastal","Sagadahoc","ME","A","","dominant","",434192.867,4858229.893,-69.8190733801667,43.8742289002915
"","","346B","346","Yes",2014,2014,2013,2010,"","","coastal","Hancock","ME","C","","dominant","",551498.779556,4919475.81344,-68.3530081548449,44.426745259413
"","","348C","348","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","supercanopy","",514359.7177,5167251.8474,-68.8123118099117,46.6586723479147
"","","349B","349","Yes",2014,2013,2009,2005,"Farm Island","","interior","Piscataquis","ME","G","","supercanopy","",470841.502,5133111.211,-69.3789707927264,46.3509480952747
"","","350A","350","Yes",2013,2013,2013,2002,"","","interior","Penobscot","ME","F","","dominant","",568921,5044900,-68.1169829042165,45.5542255396082
"","","351B","351","Yes",2014,2014,2014,2012,"Days Ferry shoreline","","coastal","Sagadahoc","ME","B","","dominant","",435550.146254,4865505.12091,-69.8030616944431,43.939845944426
"","","352C","352","Yes",2013,2013,2013,2009,"Little Spruce Island","","coastal","Washington","ME","C","","dominant","",617235.966,4935200.011,-67.5237649321705,44.5605968812856
"","","353D","353","Yes",2013,2013,2013,2008,"Eaton Point","","interior","Washington","ME","C","","supercanopy","",628817.109,4993152.647,-67.3632997759844,45.0801099060375
"","","354A","354","Yes",2013,2013,2013,2002,"","","interior","Penobscot","ME","F","","supercanopy","",505134.105214,4984464.83513,-68.934843593596,45.0136142310874
"","","355C","355","Yes",2013,2013,2013,2013,"","","interior","Piscataquis","ME","E","","dominant","",473708.9328,5014474.6313,-69.3352342525985,45.283279777384
"","","359D","359","Yes",2013,2013,2013,2013,"Matthews Island","","coastal","Washington","ME","C","","dominant","",655769.9641,4975612.848,-67.0264601046153,44.9168922272036
"","","360A","360","Yes",2013,2013,2013,2002,"Crimmins Island","","interior","Hancock","ME","C","","dominant","",561407,4948180,-68.2251174665819,44.6843620044042
"","","362C","362","Yes",2013,2013,2013,2008,"Meadow Pond Road upland","","coastal","Waldo","ME","B","","dominant","",509118.8,4912183.312,-68.8855627767079,44.3628668252622
"","","363A","363","Yes",2013,2013,2013,2002,"","","interior","Piscataquis","ME","G","","supercanopy","",506913.758312,5125981.98849,-68.9102464356831,46.2873789847514
"","","364C","364","Yes",2013,2013,2013,2013,"","","interior","Aroostook","ME","G","","dominant","",435729.1964,5180773.6393,-69.8418958662591,46.7774151035022
"","","365B","365","Yes",2013,2013,2013,2008,"","","interior","Oxford","ME","D","","dominant","",347940.071155,4959594.7018,-70.9217627906769,44.7735780217987
"","","366C","366","Yes",2013,2013,2013,2012,"The Pool shoreline","","coastal","Washington","ME","C","","dominant","",651673.940339,4957415.20229,-67.0837612777793,44.7540504722127
"","","367A","367","Yes",2013,2013,2013,2002,"","","interior","Aroostook","ME","G","","dominant","",515544.82352,5162343.22195,-68.796987290565,46.6144717891253
"","","368A","368","Yes",2014,2014,2014,2002,"","","interior","Piscataquis","ME","G","","supercanopy","",473207,5120800,-69.3475255955332,46.2402485119851
"","","369A","369","Yes",2014,2014,2014,2002,"Scotts Neck","","interior","Hancock","ME","C","","dominant","",542237.786782,4942894.91739,-68.4674328341848,44.6381703307755
"","","370D","370","Yes",2013,2013,2013,2013,"Irish Point vicinity","","coastal","Hancock","ME","C","","dominant","",540918.0214,4888571.8688,-68.4883517697191,44.1492021557711
"","","371A","371","Yes",2014,2014,2014,2002,"Western Island","","coastal","Hancock","ME","C","","dominant","",514081,4904350,-68.8235010341743,44.2922645558717
"","","372A","372","Yes",2013,2013,2013,2002,"","","interior","Aroostook","ME","G","","supercanopy","",587689.446615,5098083.24093,-67.8669047121877,46.0307060154962
"","","373C","373","Yes",2013,2013,2013,2013,"Narrows Island","","coastal","Washington","ME","C","","dominant","",596630.7338,4930123.391,-67.7841129796044,44.5179628911317
"","","374B","374","Yes",2013,2013,2013,2005,"Current Island","","coastal","Hancock","ME","C","","dominant","",527992.127,4894621.928,-68.6496540419066,44.2042807294641
"","","375C","375","Yes",2013,2013,2013,2007,"Second Island","","coastal","Hancock","ME","C","","dominant","",523195.16919,4888520.37164,-68.7099607182846,44.149516066636
"","","376A","376","Yes",2013,2013,2013,2002,"Horse Island","","interior","Cumberland","ME","A","","dominant","",386158,4858800,-70.4169220068191,43.8735123966718
"","","377A","377","Yes",2013,2013,2013,2002,"","","interior","Somerset","ME","D","","dominant","",421975.27633,5008616.61774,-69.9938970182222,45.2267160115541
"","","378B","378","Yes",2013,2013,2013,2013,"Love Lake outlet vicinity","","interior","Washington","ME","C","","dominant","",616057.8124,4982004.2473,-67.5279322976144,44.9819946218477
"","","379D","379","Yes",2014,2014,2014,2012,"","","coastal","Cumberland","ME","A","","dominant","",430070.447989,4862212.11013,-69.8709000000011,43.9097001110728
"","","380B","380","Yes",2014,2014,2014,2007,"","","interior","Somerset","ME","D","","dominant","",430816.054678,4981665.72817,-69.87757040604,44.9850636790196
"","","381B","381","Yes",2013,2013,2013,2011,"Little Dram Island","","coastal","Washington","ME","C","","dominant","",645912.978004,4972024.74989,-67.1523114733611,44.8866981787805
"","","383A","383","Yes",2013,2013,2013,2003,"","","interior","Kennebec","ME","B","","dominant","",451996,4913290,-69.6025168057444,44.3712984772082
"","","384A","384","Yes",2013,2013,2013,2003,"","","interior","Aroostook","ME","F","","supercanopy","",581747.504982,5070055.66777,-67.9484443751605,45.7792221039356
"","","385B","385","Yes",2013,2013,2013,2013,"","","interior","Penobscot","ME","F","","dominant","",516449.0094,5053985.7517,-68.7889367203005,45.6392241401909
"","","386C","386","Yes",2013,2013,2013,2013,"","","interior","Penobscot","ME","F","","dominant","",538813.5681,5026986.6062,-68.5041157595888,45.3953204790966
"","","387C","387","Yes",2013,2013,2013,2013,"","","interior","Penobscot","ME","F","","dominant","",542164.8449,5048167.8227,-68.4594809601236,45.5857734317667
"","","389A","389","Yes",2013,2013,2013,2003,"","","interior","Piscataquis","ME","E","","supercanopy","",471555.524566,5071090.912,-69.3659826579187,45.7927929872379
"","","390B","390","Yes",2013,2013,2013,2008,"","","interior","Piscataquis","ME","E","","dominant","",485324.758,5108995.661,-69.1899839411364,46.1343792052104
"","","391E","391","Yes",2013,2013,2013,2009,"Lower Torrey Island","","coastal","Hancock","ME","C","","dominant","",533315.263559,4899676.93868,-68.582710547583,44.2495668023462
"","","392A","392","Yes",2014,2014,2014,2003,"","","interior","Penobscot","ME","B","","dominant","",504118.970397,4959000.27509,-68.9479338505429,44.7843867650622
"","","393A","393","Yes",2014,2014,2014,2003,"","","interior","Hancock","ME","C","","dominant","",523408.344,4937178,-68.7051053894057,44.5875645566646
"","","394C","394","Yes",2013,2013,2013,2005,"Carney Island","","coastal","Hancock","ME","C","","dominant","",525128.661,4902598.44,-68.6851094690017,44.2761975021571
"","","395B","395","Yes",2013,2013,2013,2006,"Metenic Island","","coastal","Knox","ME","B","","dominant","",489989.687476,4858972.37539,-69.124614177643,43.8837814070141
"","","396A","396","Yes",2013,2013,2013,2003,"Bear Island","","coastal","Sagadahoc","ME","A","","dominant","",429110,4847760,-69.8809431095168,43.7795005026919
"","","397B","397","Yes",2014,2014,2014,2006,"","","interior","Kennebec","ME","B","","dominant","",430446.017,4890082.76845,-69.8698861139716,44.1606390040157
"","","398B","398","Yes",2013,2013,2013,2009,"","","interior","Franklin","ME","D","","dominant","",363521.270359,4976942.81212,-70.7296064583307,44.9328207756178
"","","399A","399","Yes",2013,2013,2003,2003,"","OSPREYS TRADTL & SINCE 2003","interior","Aroostook","ME","G","","","",582552.37899,5168290.16296,-67.9209107816968,46.6630817767418
"","","400A","400","Yes",2013,2013,2013,2003,"Hardy Island","","coastal","Lincoln","ME","B","","dominant","",469087.884999,4874007.86277,-69.385682527088,44.0185717263397
"","","401B","401","Yes",2013,2013,2013,2006,"Trafton Island","","coastal","Washington","ME","C","","dominant","",592722.099,4926204.895,-67.8339875260819,44.4832060428216
"","","402A","402","Yes",2013,2013,2013,2003,"Marshall Island - Boxam Cove shoreline","","coastal","Hancock","ME","C","","dominant","",539131,4883520,-68.5110715744869,44.103818164393
"","","403B","403","Yes",2013,2013,2013,2010,"Cottage Point","","interior","Lincoln","ME","B","","dominant","",470617.639295,4893827.48685,-69.3677011150946,44.19707368444
"","","404A","404","Yes",2013,2013,2013,2003,"","","interior","Lincoln","ME","B","","supercanopy","",470567.531831,4904208.54642,-69.3689117758083,44.2905316936352
"","","405A","405","Yes",2013,2013,2012,2003,"","","interior","Androscoggin","ME","D","","dominant","",404875.240417,4909882.02404,-70.1932290828262,44.3359730727234
"","","406B","406","Yes",2013,2013,2013,2010,"South Pond upland - Finntown Road","","interior","Knox","ME","B","","dominant","",476700.759661,4883812.67496,-69.2911323396527,44.1071284666362
"","","407D","407","Yes",2014,2013,2013,2011,"","","interior","Androscoggin","ME","A","","dominant","",412232.992469,4890970.70643,-70.0977808053467,44.1666705448177
"","","408B","408","Yes",2014,2014,2014,2007,"","","interior","Androscoggin","ME","A","","dominant","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",403079.804273,4889238.45498,-70.2119245078801,44.1499207457666
"","","409A","409","Yes",2013,2013,2013,2004,"","","interior","Knox","ME","B","","supercanopy","",478436.243,4893748.298,-69.2698543976977,44.1966337663044
