PK_NestSite,IntactDuringLastYearObs.,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,County,IFWRegion,Species,TreeCondition,NestTreeStandProminence,NestTreeComments,nest_id,Accuracy,Type,UseID,UTM_long,UTM_lat
075B,No,75,,2013,1982,1982,1965,,interior,Hancock,F,eastern white pine,dead - top intact,supercanopy,,075B,12,A,IO,556757,4986670
075C,No,75,,2013,1998,1997,1997,,interior,Hancock,F,eastern white pine,alive - top intact,dominant,,075C,12,A,IO,557488,4987258
075D,Yes,75,,2013,2013,2013,1998,,interior,Hancock,F,eastern white pine,alive - top intact,dominant,,075D,12,A,ER,557527,4987371
076A,No,76,,2013,2004,1984,1967,,interior,Hancock,F,eastern white pine,alive - top intact,supercanopy,,076A,12,A,IO,566252,4988650
076B,No,76,,2013,1996,1987,1985,,interior,Hancock,F,eastern white pine,alive - top broken,dominant,,076B,12,A,IO,565859,4988249
076C,No,76,,2013,2009,2006,1988,,interior,Hancock,F,eastern white pine,alive - top intact,dominant,,076C,12.5,A,IO,567006,4987912
076D,Yes,76,,2013,2013,2013,2007,,interior,Hancock,F,eastern white pine,alive - top intact,dominant,,076D,8.5,A,ER,567128,4988744
077A,No,77,Getchel Mountain,2013,1985,NA,1975,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Washington,C,eastern white pine,alive - top intact,dominant,,077A,12,A,IO,589137,4996820
077B,Yes,77,,2013,2013,2009,1994,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,077B,12,A,ER,586783,4996925
078A,No,78,,2013,2008,2006,1977,,interior,Washington,C,eastern white pine,alive - top intact,supercanopy,,078A,12,A,IO,583420,4999636
078B,No,78,,2013,1981,NA,1978,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Washington,C,eastern white pine,alive - top intact,supercanopy,Nest tree leader is dead above nest level.,078B,12,A,IO,584069,5000632
078C,No,78,,2013,1970,1970,1963,,interior,Washington,C,eastern white pine,dead - top broken,dominant,,078C,12,A,IO,583759,4999090
078D,No,78,,2013,2000,1990,1987,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,078D,12,A,IO,584587,4999910
079A,No,79,,2013,2000,2013,1969,,interior,Washington,C,sugar maple,alive - top intact,dominant,,079A,12,A,IO,585666,5003880
079B,No,79,,2013,1965,1963,1963,,interior,Washington,C,American beech,alive - top intact,dominant,Nest tree leader is dead above nest level.,079B,12,A,IO,585456,5004180
079C,No,79,,2013,1980,1968,1968,,interior,Washington,C,American beech,alive - top intact,dominant,,079C,12,A,IO,584403,5003690
079D,No,79,,2013,1989,1987,1980,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,079D,12,A,IO,584601,5004849
080A,No,80,Dinner Island,2013,1995,1995,1975,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,080A,12.5,A,IO,601952,5000230
080B,Yes,80,,2013,2013,2007,1996,,interior,Washington,C,eastern white pine,alive - top intact,supercanopy,,080B,12,A,ER,603003,5000000
080C,Yes,80,,2013,2013,2012,1998,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,080C,12,A,ER,603011,5000600
081A,No,81,,2013,1973,NA,1972,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Penobscot,F,eastern white pine,dead - top broken,co-dominant,,081A,12,A,IO,581481,5014270
081B,No,81,,2013,1986,1982,1977,,interior,Washington,C,sugar maple,alive - top intact,dominant,,081B,12,A,IO,584176,5012090
081C,Yes,81,,2013,2013,2013,1985,,interior,Penobscot,F,eastern white pine,alive - top intact,dominant,,081C,12,A,ER,582699,5013280
082A,No,82,,2013,1984,1983,1974,,interior,Washington,C,eastern white pine,alive - top intact,dominant,Nest tree leader is dead above nest level.,082A,12,A,IO,615465,5012710
082B,No,82,,2013,1996,1992,1984,,interior,Washington,C,eastern white pine,alive - top intact,supercanopy,,082B,12,A,IO,615015,5013350
082C,No,82,,2013,2009,2013,1993,,interior,Washington,C,eastern white pine,alive - top intact,,,082C,12,A,IO,615483,5012860
083A,No,83,Todd Farm vicinity,2013,1974,1974,1965,,interior,Washington,C,eastern white pine,dead - top broken,supercanopy,,083A,12,A,IO,610597,5032834
083B,Yes,83,Todd Farm vicinity,2013,2013,2001,1977,,interior,Washington,C,eastern white pine,alive - top intact,dominant,Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.,083B,12.5,A,ER,610771,5033142
083C,No,83,Todd Farm vicinity,2013,1990,1990,1988,,interior,Washington,C,eastern white pine,,,,083C,12.5,A,IO,610833,5032864
083D,Yes,83,Todd Farm vicinity,2013,2013,2013,2002,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,083D,12,A,ER,610757,5033217
084A,No,84,Day Cove vicinity,2013,1975,1973,1964,,interior,Washington,F,sugar maple,alive - top intact,,,084A,12,A,IO,590577,5037003
084B,No,84,Day Cove vicinity,2013,1985,1984,1977,,interior,Washington,F,eastern white pine,alive - top intact,,,084B,12,A,IO,591047,5037196
084C,No,84,Baskahegan Lake inlet vicinity,2013,1989,1990,1986,,interior,Washington,F,eastern white pine,alive - top intact,,,084C,12,A,IO,589204,5037360
084D,Yes,84,Pine Island,2013,2013,2013,1993,,interior,Washington,F,eastern white pine,alive - top intact,dominant,,084D,12,A,ER,590723,5037803
085A,No,85,,2013,1975,1970,1968,,interior,Washington,F,American elm,dead - top intact,dominant,,085A,12,A,IO,591772,5051202
085B,No,85,,2013,1975,1974,1972,,interior,Washington,F,American elm,dead - top broken,,,085B,12,A,IO,591690,5050182
085C,No,85,,2013,2003,2003,1974,,interior,Washington,F,sugar maple,alive - top intact,,,085C,12,A,IO,588911,5051989
085D,No,85,,2013,1981,NA,1978,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Washington,F,eastern white pine,,,,085D,12,A,IO,589724,5051146
085E,No,85,,2013,1963,1964,1963,,interior,Washington,F,yellow birch,dead - top intact,dominant,,085E,12,A,IO,588946,5051860
085F,Yes,85,,2013,2013,2009,2009,,interior,Washington,F,eastern white pine,alive - top intact,,,085F,7,A,ER,589138,5051991
085G,Yes,85,,2013,2013,2013,2013,,interior,Washington,F,eastern white pine,alive - top intact,dominant,,085G,12.5,A,ER,589422,5052089
086A,No,86,Booming Ground vicinity,2013,1999,1995,1977,,interior,Washington,F,eastern white pine,alive - top intact,supercanopy,,086A,12,A,IO,600397,5058860
086B,No,86,Booming Ground vicinity,2013,1984,1982,1980,,interior,Washington,F,eastern white pine,alive - top intact,dominant,Nest tree leader is dead above nest level.,086B,12,A,IO,600481,5058720
086C,,86,Pirate Brook Cove,2013,2013,2013,NA,This nest is on the New Brunswick side of the Spednik Lake border with Maine.,interior,Charlotte,,eastern white pine,alive - top intact,dominant,,086C,NA,NA,NA,NA,NA
087A,No,87,,2013,1975,1974,1963,,interior,Penobscot,F,red pine,alive - top intact,dominant,,087A,12,A,IO,517752,5069180
087B,No,87,,2013,1982,1978,1966,,interior,Penobscot,F,red pine,alive - top intact,dominant,,087B,12,A,IO,517108,5068720
088A,No,88,,2013,1982,1978,1968,,interior,Piscataquis,F,eastern white pine,alive - top intact,,,088A,12,A,IO,495489,5078010
088C,No,88,,2013,1984,1983,1978,,interior,Piscataquis,F,eastern white pine,,,,088C,12,A,IO,497034,5078945
088D,No,88,,2013,2007,1996,1985,,interior,Piscataquis,F,eastern white pine,alive - top intact,,,088D,12,A,IO,495312,5077900
088E,No,88,,2013,2003,1993,1992,,interior,Piscataquis,F,eastern white pine,alive - top broken,,,088E,12,A,IO,496231,5077500
088F,Yes,88,,2013,2013,2007,1994,,interior,Piscataquis,F,eastern white pine,alive - top intact,,,088F,12,A,ER,494729,5078395
088G,No,88,,2013,2008,2008,2003,,interior,Piscataquis,F,eastern white pine,alive - top intact,,,088G,12,A,IO,496379,5077531
088H,Yes,88,,2013,2013,2013,2013,,interior,Piscataquis,F,eastern white pine,alive - top intact,dominant,,088H,12.5,A,ER,494786,5077474
089A,No,89,,2013,1984,1984,1977,,interior,Piscataquis,F,eastern white pine,alive - top intact,supercanopy,Nest tree leader is dead above nest level.,089A,12,A,IO,503379,5067730
089B,Yes,89,,2013,2013,2013,1977,,interior,Piscataquis,F,eastern white pine,alive - top intact,supercanopy,Nest tree leader is dead above nest level.,089B,12,A,ER,503880,5067206
089C,No,89,,2013,1995,1982,1977,,interior,Piscataquis,F,eastern white pine,alive - top intact,supercanopy,,089C,12,A,IO,504023,5067031
089D,No,89,,2013,1990,1985,1981,,interior,Piscataquis,F,eastern white pine,alive - top intact,supercanopy,Nest tree leader is dead above nest level.,089D,12,A,IO,503074,5067910
089E,No,89,,2013,2007,2007,1994,,interior,Piscataquis,F,eastern white pine,alive - top intact,,,089E,12,A,IO,504521,5067373
090A,Yes,90,,2014,2014,2013,1967,,interior,Piscataquis,G,eastern white pine,alive - top intact,supercanopy,,090A,12,A,ER,476379,5128093
090B,No,90,,2013,1968,NA,1966,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Piscataquis,G,eastern white pine,,,,090B,12,A,IO,476183,5128680
090C,No,90,,2013,1996,1993,1990,,interior,Piscataquis,G,eastern white pine,,,,090C,12,A,IO,477835,5129540
090D,No,90,,2013,1996,1992,1990,,interior,Piscataquis,G,eastern white pine,,,,090D,12,A,IO,472991,5128788
090E,No,90,,2013,2006,2006,2006,,interior,Piscataquis,G,eastern white pine,,,,090E,10,A,IO,473493,5128725
091A,No,91,,2013,2008,2013,1972,,interior,Piscataquis,E,eastern white pine,alive - top intact,supercanopy,,091A,12,A,IO,453110,5116022
091B,No,91,,2013,1981,1978,1974,,interior,Piscataquis,E,eastern white pine,alive - top broken,supercanopy,,091B,12,A,IO,452899,5115590
091C,No,91,,2013,1983,NA,1978,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Piscataquis,E,eastern white pine,alive - top broken,dominant,,091C,12,A,IO,452152,5115342
091D,No,91,,2013,2006,2006,2006,,interior,Piscataquis,E,eastern white pine,alive - top broken,dominant,,091D,10,A,IO,452903,5114472
092A,No,92,,2013,1974,NA,1972,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Piscataquis,E,eastern white pine,,,,092A,12,A,IO,454999,5068340
092B,No,92,,2013,1978,1977,1974,,interior,Piscataquis,E,sugar maple,alive - top intact,,,092B,12,A,IO,453032,5061096
092C,No,92,,2013,1994,1992,1978,,interior,Piscataquis,E,eastern white pine,,,,092C,12,A,IO,454999,5064404
092D,No,92,Ronco Brook area,2013,1972,NA,1972,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Piscataquis,E,eastern white pine,dead - top intact,,,092D,12,A,IO,450311,5058819
092E,No,92,,2013,1987,1986,1986,,interior,Piscataquis,E,eastern white pine,,,,092E,12,A,IO,454342,5064380
092F,No,92,,2013,2000,2000,1993,,interior,Piscataquis,E,eastern white pine,alive - top intact,,,092F,12,A,IO,455176,5064073
092G,No,92,,2013,2001,2001,2001,,interior,Piscataquis,E,eastern white pine,alive - top intact,,,092G,12,A,IO,455114,5064660
092H,Yes,92,,2014,2014,2014,2012,,interior,Piscataquis,E,eastern white pine,alive - top intact,dominant,,092H,12.5,A,ER,456469,5066150
093A,No,93,Great Pond Mountain northerly slope,2014,1981,1977,1973,,interior,Hancock,C,northern red oak,alive - top intact,,,093A,12.5,A,IO,525668,4939510
094A,Yes,94,,2014,2014,2014,1962,,coastal,Waldo,B,eastern white pine,alive - top intact,supercanopy,,094A,12,A,ER,512076,4938630
094B,No,94,,2014,1994,1987,1987,,coastal,Waldo,B,eastern white pine,alive - top intact,,,094B,12,A,IO,511293,4939310
094C,No,94,,2014,1995,1995,1992,,coastal,Waldo,B,eastern white pine,alive - top intact,,,094C,12,A,IO,511143,4940520
094D,Yes,94,,2013,2013,2009,2008,,coastal,Hancock,C,eastern white pine,alive - top intact,,,094D,10,A,ER,513718,4940119
095B,Yes,95,,2013,2013,2013,1983,,interior,Penobscot,F,eastern white pine,alive - top intact,,,095B,12,A,ER,528965,5001395
095C,No,95,,2013,2009,2008,2000,,interior,Penobscot,F,eastern white pine,alive - top intact,,,095C,12,A,IO,529100,5001663
096A,No,96,,2013,1983,1983,1976,,interior,Penobscot,F,eastern white pine,alive - top intact,supercanopy,,096A,12,A,IO,527575,5015042
096B,No,96,,2013,1992,1991,1984,,interior,Penobscot,F,eastern white pine,alive - top intact,,,096B,12,A,IO,528267,5015180
096C,Yes,96,,2013,2013,2013,2004,,interior,Penobscot,F,eastern white pine,alive - top intact,,,096C,10,A,ER,528378,5014486
097A,No,97,,2013,2003,2001,1976,,interior,Penobscot,F,eastern white pine,alive - top intact,dominant,"Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",097A,12,A,IO,541958,5048911
097D,Yes,97,,2013,2013,2013,2002,,interior,Penobscot,F,eastern white pine,alive - top intact,,,097D,12,A,ER,542561,5048874
098A,No,98,,2013,1997,2000,1977,,interior,Penobscot,F,eastern white pine,alive - top intact,dominant,,098A,12,A,IO,528786,5056010
098C,No,98,Spectacle Island,2013,1993,1990,1982,,interior,Penobscot,F,quaking aspen,,,,098C,12,A,IO,529540,5054211
098D,Yes,98,,2013,2013,2013,1997,,interior,Penobscot,F,eastern white pine,alive - top intact,,,098D,12,A,ER,528309,5056104
098E,No,98,,2013,2010,2009,2005,,interior,Penobscot,F,eastern white pine,alive - top intact,,,098E,7.5,A,IO,528613,5056043
099A,No,99,Eagle Island,2013,1975,NA,1972,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Cumberland,A,northern red oak,alive - top intact,,Nest tree leader is dead above nest level.,099A,12,A,IO,415188,4840290
099B,Yes,99,Haskell Island,2013,2013,2012,2012,,coastal,Cumberland,A,spruce,dead - top broken,dominant,,099B,12.5,A,ER,416991,4841662
099C,Yes,99,Haskell Island,2013,2013,2013,2013,,coastal,Cumberland,A,spruce,alive - top broken,dominant,,099C,12.5,A,ER,417255,4841201
100B,No,100,,2013,1984,1989,1978,,interior,Hancock,C,eastern white pine,alive - top intact,supercanopy,,100B,12,A,IO,546894,4943451
101C,Yes,101,Liza Dunn Point shoreline,2013,2013,2013,1997,,coastal,Washington,C,eastern white pine,alive - top intact,,,101C,12,A,ER,643409,4974661
102A,No,102,Courthouse Point upland,2013,1968,1965,1962,,coastal,Lincoln,B,eastern white pine,,,,102A,12,A,IO,439231,4883940
102B,Yes,102,Courthouse Point vicinity,2014,2014,2014,2002,,coastal,Lincoln,B,eastern white pine,alive - top intact,,,102B,12,A,ER,438436,4883674
103A,No,103,,2013,1964,2006,1962,,interior,Lincoln,B,eastern white pine,,,,103A,12,A,IO,453758,4872045
104A,No,104,,2013,1963,2012,1962,,interior,Lincoln,B,eastern white pine,,,,104A,12,A,IO,460318,4863882
105A,No,105,,2013,1963,1963,1963,,interior,Lincoln,B,eastern white pine,,,,105A,12,A,IO,465404,4873330
106A,No,106,Atlantic Highway shoreline,2013,1967,1963,1962,,coastal,Knox,B,eastern white pine,,,,106A,12,A,IO,480597,4883421
106B,No,106,Four Rod Road shoreline,2013,1967,NA,1967,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Knox,B,eastern white pine,,,,106B,12,A,IO,480472,4884610
106C,No,106,Atlantic Highway shoreline,2013,1999,1994,1993,,coastal,Knox,B,eastern white pine,,,,106C,12,A,IO,480450,4884080
106D,Yes,106,Clemment Point vicinity,2013,2013,2013,1996,,coastal,Knox,B,eastern white pine,alive - top intact,,,106D,7,A,ER,480669,4884255
106E,No,106,Four Rod Road shoreline,2013,2006,2004,2004,,coastal,Knox,B,eastern white pine,alive - top intact,,,106E,12.5,A,IO,480489,4884579
107A,No,107,Spectacle Island,2013,1965,1963,1962,,coastal,Knox,B,red spruce,,,,107A,12,A,IO,507619,4877830
107B,No,107,Crane Island,2013,1991,1991,1986,,coastal,Knox,B,red spruce,alive - top intact,,,107B,12,A,IO,508324,4877950
107C,No,107,Crane Island islet,2013,2004,2005,1992,,coastal,Knox,B,red spruce,alive - top broken,dominant,Nest tree leader was alive when first used.  Nest tree condition deteriorated notably during the years of eagle nesting activity.,107C,12,A,IO,508341,4877440
107D,No,107,Spectacle Island,2013,2006,2006,2006,,coastal,Knox,B,red spruce,alive - top broken,,,107D,10,A,IO,507650,4877844
107E,No,107,Crane Island,2013,2009,2009,2008,,coastal,Knox,B,red spruce,alive - top intact,,,107E,4,A,IO,508306,4877892
107F,No,107,Crane Island,2013,2012,2012,2010,,coastal,Knox,B,red spruce,alive - top intact,dominant,,107F,5,A,IO,508304,4877656
107G,Yes,107,Crane Island islet,2013,2013,2013,2013,,coastal,Knox,B,red spruce,alive - top broken,dominant,,107G,12.5,A,ER,508351,4877424
108A,No,108,Calderwood Neck - Mill Priviledge,2013,1983,1965,1962,,coastal,Knox,B,eastern white pine,alive - top intact,,,108A,12,A,IO,513964,4883210
108B,No,108,Calderwood Neck - Mill Priviledge,2013,1970,NA,1962,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Knox,B,eastern white pine,alive - top intact,,,108B,12,A,IO,514054,4883400
108C,No,108,Bluff Head,2013,1996,1995,1994,,coastal,Knox,B,red spruce,,,,108C,12,A,IO,516323,4883050
108D,No,108,Neck Island,2013,1995,NA,1994,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Knox,B,red spruce,,,,108D,12,A,IO,516461,4882710
108E,Yes,108,Penobscot Island,2013,2013,2013,1996,,coastal,Knox,B,eastern white pine,alive - top intact,,,108E,12,A,ER,515279,4882130
109A,Yes,109,Stimpsons Island,2013,2013,2013,1962,,coastal,Knox,B,eastern white pine,alive - top intact,,,109A,12,A,ER,514370,4887000
109B,No,109,Stimpsons Island,2013,NA,NA,1962,Nest and the nest tree were fallen when first discovered.,coastal,Knox,B,red spruce,,,,109B,12,A,IO,514516,4887150
110A,No,110,,2013,1986,NA,1968,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Washington,C,eastern white pine,,,,110A,12,A,IO,589509,4926860
111A,No,111,Shoppee Island,2013,1970,1969,1968,,coastal,Washington,C,red spruce,dead - top broken,co-dominant,,111A,12,A,IO,620016,4939680
111B,No,111,Shoppee Island,2013,1980,1980,1980,,coastal,Washington,C,red spruce,alive - top broken,dominant,,111B,12,A,IO,619901,4939885
111C,No,111,Shoppee Island,2013,1982,NA,1980,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Washington,C,red spruce,dead - top broken,dominant,,111C,12,A,IO,619984,4939760
111D,No,111,Great Head vicinity,2013,1998,1998,1981,,coastal,Washington,C,yellow birch,alive - top intact,dominant,,111D,12,A,IO,618229,4938830
111E,No,111,Great Head vicinity,2013,2000,2000,1999,,coastal,Washington,C,red spruce,,,,111E,12,A,IO,618389,4938750
111F,Yes,111,Marsh Island bar vicinity,2013,2013,2013,2001,,coastal,Washington,C,red spruce,alive - top intact,,,111F,12,A,ER,618991,4938190
111G,Yes,111,Marsh Island,2013,2013,2011,2010,,coastal,Washington,C,yellow birch,alive - top intact,dominant,,111G,5,A,ER,619471,4938178
112A,No,112,,2013,1964,1963,1963,,interior,Somerset,D,eastern white pine,dead - top intact,,,112A,12,A,IO,429344,4983810
113A,No,113,,2013,1968,NA,1967,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Piscataquis,F,eastern white pine,alive - top intact,dominant,Nest tree leader was alive when first used.  Nest tree condition deteriorated notably during the years of eagle nesting activity.,113A,12,A,IO,486547,5033210
113B,No,113,,2013,1968,1962,1962,,interior,Piscataquis,F,eastern white pine,alive - top intact,dominant,,113B,12,A,IO,485485,5034280
114A,Yes,114,Hay Pond islet,2013,2013,NA,1969,Nest was used only by ospreys during the period 1980 - 2013.,interior,Penobscot,F,eastern white pine,,,,114A,12,A,ER,519001,5112827
115A,No,115,,2013,1965,1962,1962,,interior,Penobscot,F,eastern white pine,alive - top intact,dominant,,115A,12,A,IO,528926,5123440
115B,No,115,,2013,1967,2000,1967,Infrequent territorial behavior by adult eagle(s)  was noted only twice during 1968  - 2000 following destruction of this nest in 1967.,interior,Penobscot,F,eastern hemlock,alive - top intact,dominant,,115B,12,A,IO,528062,5122650
116A,No,116,,2013,2000,1965,1963,Infrequent territorial behavior by adult eagle(s)  was noted only twice during 1965 - 2000 following destruction of this nest in 1965.,interior,Aroostook,G,eastern white pine,,,,116A,12,A,IO,516255,5183890
116B,No,116,,2013,1999,1993,1992,,interior,Aroostook,G,eastern white pine,,,,116B,12,A,IO,515907,5186907
116C,No,116,,2013,2003,2003,2003,,interior,Aroostook,G,eastern white pine,,,,116C,12,A,IO,515802,5186821
116D,No,116,,2013,2009,2009,2004,,interior,Aroostook,G,eastern white pine,,,,116D,5,A,IO,515372,5186938
116E,No,116,,2013,2010,2010,2010,,interior,Aroostook,G,eastern white pine,alive - top intact,dominant,,116E,12.5,A,IO,515294,5187774
116F,Yes,116,,2013,2013,2013,2013,,interior,Aroostook,G,bigtooth aspen,alive - top intact,dominant,,116F,12.5,A,ER,516019,5186758
117A,No,117,,2013,2001,2002,1980,,interior,Washington,C,eastern white pine,alive - top intact,supercanopy,,117A,12.5,A,IO,619602,5012479
117B,No,117,,2013,1999,1999,1999,,interior,Washington,C,eastern white pine,alive - top broken,dominant,,117B,12.5,A,IO,622125,5008639
117C,Yes,117,,2013,2013,2013,2001,This nest is on the New Brunswick side of the Saint Croix River border with Maine.,interior,Charlotte,,eastern white pine,alive - top intact,,,117C,NA,NA,NA,NA,NA
118A,No,118,,2013,1996,1996,1980,,interior,Washington,C,eastern white pine,alive - top intact,,,118A,12,A,IO,636053,4970370
118B,Yes,118,,2013,2013,2013,1997,,interior,Washington,C,eastern white pine,,,,118B,12,A,ER,635997,4970390
119A,No,119,Mink Island,2013,1981,1982,1980,,coastal,Washington,C,red spruce,,,,119A,12,A,IO,614065,4927100
119B,No,119,Mink Island,2013,1989,1989,1983,,coastal,Washington,C,red spruce,dead - top broken,,,119B,12,A,IO,614001,4927140
119C,No,119,Mink Island,2013,1990,1990,1990,,coastal,Washington,C,red spruce,,,,119C,12,A,IO,612416,4926650
119D,No,119,Mud Hole,2013,1999,1996,1991,,coastal,Washington,C,red spruce,,,,119D,12,A,IO,612813,4926740
119E,No,119,Mink Island,2013,2004,2004,1997,,coastal,Washington,C,red spruce,,,,119E,12,A,IO,614026,4927100
119F,No,119,Mink Island,2013,2011,2010,2005,,coastal,Washington,C,red spruce,dead - top intact,,,119F,10,A,IO,613976,4927138
119G,Yes,119,Mink Island,2013,2013,2013,2011,,coastal,Washington,C,red spruce,alive - top intact,dominant,,119G,12.5,A,ER,614058,4927117
120A,No,120,,2013,1995,1986,1978,,interior,Piscataquis,F,northern red oak,alive - top intact,,,120A,12,A,IO,491784,5079800
121C,Yes,121,Mink Island,2013,2013,2013,1995,,coastal,Washington,C,red spruce,alive - top intact,,,121C,12,A,ER,636171,4942090
122A,No,122,Jordan Island,2014,1986,1986,1981,,coastal,Hancock,C,eastern white pine,alive - top intact,,,122A,12,A,IO,569468,4918599
122B,No,122,Jordan Island,2014,1990,2005,1987,Infrequent territorial behavior by adult eagle(s) was noted only once during 1991 - 2005 following destruction of this nest in 1990.,coastal,Hancock,C,red spruce,alive - top broken,,,122B,12,A,IO,569523,4917513
122C,No,122,Jordan Island,2014,1996,2014,1992,Occasional territorial behavior by adult eagle(s) was noted during 7 different years during 1997 - 2014 following destruction of this nest in 1996.,coastal,Hancock,C,eastern white pine,alive - top broken,,,122C,12,A,IO,569136,4918752
123A,No,123,,2013,1985,1981,1981,,coastal,Washington,C,eastern white pine,alive - top intact,,,123A,12,A,IO,644649,4977880
123B,Yes,123,,2013,2013,2013,2007,,coastal,Washington,C,eastern white pine,alive - top intact,,,123B,8.5,A,ER,644834,4979094
124A,Yes,124,,2013,2013,2013,1981,,interior,Washington,C,eastern white pine,alive - top intact,,,124A,12,A,ER,602457,4989290
124B,No,124,,2013,1984,NA,1983,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Washington,C,sugar maple,alive - top intact,,,124B,12,A,IO,602293,4988120
124C,No,124,,2013,1997,1996,1995,,interior,Washington,C,eastern white pine,alive - top intact,,,124C,12,A,IO,601647,4989910
125A,No,125,Outer Ram Island,2013,1984,1982,1982,,coastal,Washington,C,red spruce,alive - top broken,,,125A,12,A,IO,608677,4927005
125B,No,125,Ram Island,2013,1993,1993,1982,,coastal,Washington,C,red spruce,dead - top broken,,,125B,12,A,IO,608545,4927146
125C,No,125,Ram Island,2013,1995,1990,1983,,coastal,Washington,C,red spruce,,,,125C,12,A,IO,608727,4927189
125D,No,125,Ram Island,2013,1990,1988,1981,,coastal,Washington,C,red spruce,,,,125D,12,A,IO,608816,4927184
125E,No,125,Ram Island,2013,2003,2001,1996,,coastal,Washington,C,red spruce,,,,125E,12,A,IO,608781,4927210
125F,No,125,Outer Ram Island,2013,2011,2011,2003,,coastal,Washington,C,red spruce,alive - top intact,,,125F,12,A,IO,608638,4926978
125G,Yes,125,Outer Ram Island,2013,2013,2013,2013,,coastal,Washington,C,red spruce,alive - top intact,dominant,split leader at top,125G,12.5,A,ER,608688,4926982
126A,No,126,Loon Lake island,2013,2000,1996,1982,,interior,Washington,C,eastern white pine,alive - top intact,,,126A,12,A,IO,629019,4965028
126B,No,126,Second Lake island,2013,1996,NA,1994,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,interior,Washington,C,eastern white pine,,,,126B,12,A,IO,630584,4965110
126C,No,126,Second Lake northwestern shoreline,2013,2011,2011,1997,,interior,Washington,C,eastern white pine,alive - top intact,,,126C,12,A,IO,630192,4965460
126D,Yes,126,Second Lake island,2013,2013,2013,2013,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,126D,12.5,A,ER,630757,4964938
127B,No,127,,2013,1998,1999,1989,,coastal,Washington,C,eastern white pine,alive - top intact,,,127B,12,A,IO,600340,4934448
127D,No,127,,2013,2005,2004,2004,,coastal,Washington,C,eastern white pine,alive - top intact,,,127D,10,A,IO,599764,4934239
127E,Yes,127,,2013,2013,2013,2005,,coastal,Washington,C,eastern white pine,alive - top intact,,Nest tree leader is dead above nest level.,127E,7,A,ER,599835,4934700
128A,No,128,Yoho Head,2013,1987,1993,1982,Infrequent occupancy by adult eagles(s) was documented only once during 1982 - 2013.  Destruction of the nest occurred in 1987.,coastal,Washington,C,eastern white pine,alive - top broken,,,128A,12,A,IO,625103,4942730
128B,No,128,Hope Island,2013,2006,2006,2000,,coastal,Washington,C,red spruce,,,,128B,6,A,IO,623796,4942598
128C,Yes,128,Hope Island,2013,2013,2013,2007,,coastal,Washington,C,red spruce,alive - top intact,,,128C,12,A,ER,623870,4942550
129B,No,129,,2013,1989,1986,1983,,coastal,Washington,C,eastern white pine,alive - top broken,,,129B,12,A,IO,644915,5000619
129C,No,129,,2013,1993,1993,1990,,coastal,Washington,C,eastern white pine,alive - top intact,,,129C,12,A,IO,646836,4998888
129D,No,129,,2013,2008,2008,1994,,coastal,Washington,C,eastern white pine,alive - top intact,,,129D,12,A,IO,645456,4999054
129E,Yes,129,,2013,2013,2013,2013,,coastal,Washington,C,eastern white pine,alive - top intact,dominant,,129E,12.5,A,ER,645937,4998497
130A,Yes,130,,2013,2013,1998,1982,,interior,Washington,C,bigtooth aspen,alive - top intact,,,130A,12.5,A,ER,613894,5002270
130B,No,130,,2013,2000,1996,1985,,interior,Washington,C,eastern white pine,alive - top broken,,,130B,12.5,A,IO,615772,5002806
130C,Yes,130,,2013,2013,2008,2006,,interior,Washington,C,eastern white pine,alive - top intact,,,130C,10,A,ER,614052,5001143
130D,Yes,130,,2013,2013,2013,2013,,interior,Washington,C,eastern white pine,alive - top intact,dominant,,130D,12.5,A,ER,614701,5000907
