FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3257,Point_2261,12,Animal Location,2261,2261,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],284A,532662,5134760
,3258,Point_4160,8.5,Animal Location,4030,4030,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],595A,523187.798,5145408.021
,3259,Point_4161,12,Animal Location,4031,4031,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],337A,586857.4766,5183150.668
,3260,Point_4162,3,Animal Location,4039,4039,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],337B,587015.6237,5183018.123
,3261,Point_4163,8.5,Animal Location,4036,4036,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],622A,544975.3184,5165203.361
,3262,Point_4164,11,Animal Location,4033,4033,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],594A,500675.327,5134840.36
,3263,Point_4165,12,Animal Location,4034,4034,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],343A,508060.2299,5151083.741
,3264,Point_4166,10,Animal Location,4035,4035,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],343B,508268.4793,5151362.066
,3265,Point_4167,12,Animal Location,4037,4037,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],518A,574109.1526,5166510.675
,3266,Point_4168,12,Animal Location,4038,4038,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],399A,582552.379,5168290.163
,3267,Point_4169,11,Animal Location,4040,4040,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],455A,580426.9851,5172331.927
,3268,Point_2111,12,Animal Location,2111,2111,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],228A,536339,5186080
,3269,Point_2351,5,Animal Location,2351,2351,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],228C,536367,5186327
,3270,Point_2187,12,Animal Location,2187,2187,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],228B,537544,5186040
,3271,Point_4170,12,Animal Location,4041,4041,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],228D,537357.766,5186186.654
,3272,Point_2052,12,Animal Location,2052,2052,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],207A,549221.1315,5206215.445
,3273,Point_2184,12,Animal Location,2184,2184,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],207C,548517,5207710
,3274,Point_2185,12,Animal Location,2185,2185,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],207D,548628,5207540
