"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"59","067I","067",4976759,646722,"Yes",2005,"2013",2013,2013,"Coggins Head","","coastal","Washington"
"60","068C","068",4971958,649018,"Yes",2006,"2013",2013,2013,"Mink Island","","coastal","Washington"
"61","069E","069",4978183,648337,"Yes",2001,"2013",2013,2013,"Sipp Bay shoreline","","coastal","Washington"
"62","070D","070",4969500,653035,"Yes",2002,"2013",2013,2013,"Horan Head","","coastal","Washington"
"63","071D","071",4983926,648056,"Yes",1997,"2013",2013,2013,"Boyden Lake outlet","","interior","Washington"
"64","072F","072",4999360,639110,"Yes",2001,"2013",2013,2008,"Nashs Lake outlet vicinity","","interior","Washington"
"65","073F","073",5000734,634742,"Yes",1990,"2013",2013,2013,"","","interior","Washington"
"66","074D","074",4994678,612957,"Yes",2004,"2013",2013,2013,"","","interior","Washington"
"67","075D","075",4987371,557527,"Yes",1998,"2013",2013,2013,"","","interior","Hancock"
"68","076D","076",4988744,567128,"Yes",2007,"2013",2013,2013,"","","interior","Hancock"
"69","077B","077",4996925,586783,"Yes",1994,"2013",2013,2009,"","","interior","Washington"
"70","080C","080",5000600,603011,"Yes",1998,"2013",2013,2012,"","","interior","Washington"
"71","081C","081",5013280,582699,"Yes",1985,"2013",2013,2013,"","","interior","Penobscot"
"72","083D","083",5033217,610757,"Yes",2002,"2013",2013,2013,"Todd Farm vicinity","","interior","Washington"
"73","084D","084",5037803,590723,"Yes",1993,"2013",2013,2013,"Pine Island","","interior","Washington"
"74","085G","085",5052089,589422,"Yes",2013,"2013",2013,2013,"","","interior","Washington"
"75","088H","088",5077474,494786,"Yes",2013,"2013",2013,2013,"","","interior","Piscataquis"
"76","089B","089",5067206,503880,"Yes",1977,"2013",2013,2013,"","","interior","Piscataquis"
"77","090A","090",5128093,476379,"Yes",1967,"2013",2013,2013,"","","interior","Piscataquis"
"78","092H","092",5066150,456469,"Yes",2012,"2013",2013,2013,"","","interior","Piscataquis"
"79","094D","094",4940119,513718,"Yes",2008,"2013",2013,2009,"","","coastal","Hancock"
"80","095B","095",5001395,528965,"Yes",1983,"2013",2013,2013,"","","interior","Penobscot"
"81","096C","096",5014486,528378,"Yes",2004,"2013",2013,2013,"","","interior","Penobscot"
"82","097D","097",5048874,542561,"Yes",2002,"2013",2013,2013,"","","interior","Penobscot"
"83","098D","098",5056104,528309,"Yes",1997,"2013",2013,2013,"","","interior","Penobscot"
"84","099C","099",4841201,417255,"Yes",2013,"2013",2013,2013,"Haskell Island","","coastal","Cumberland"
