OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2723,Point_3818,10.00000000000,Animal Location,3842,3842,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],408A,403446.88209000000,4888746.95647000000
2724,Point_3819,7.00000000000,Animal Location,3843,3843,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],408B,403079.80427300000,4889238.45498000000
2725,Point_3820,5.00000000000,Animal Location,3844,3844,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],407A,412182.75000000000,4890847.11000000000
2726,Point_3821,5.00000000000,Animal Location,3845,3845,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],407B,412056.47700000000,4890969.60500000000
2727,Point_3822,2.00000000000,Animal Location,3846,3846,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],407C,412080.40496300000,4891271.49828000000
2728,Point_2237,12.00000000000,Animal Location,2237,2237,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],274A,403558.95313700000,4892227.27606000000
2729,Point_2275,12.00000000000,Animal Location,2275,2275,1835,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],274B,403719.92379800000,4892036.87542000000
2730,Point_1867,12.00000000000,Animal Location,1867,1867,6357,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],257A,424531.24964800000,4854356.64688000000
2731,Point_3823,12.00000000000,Animal Location,3847,3847,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],257B,423730.48332500000,4854463.88834000000
2732,Point_2352,12.00000000000,Animal Location,2352,2352,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],316A,427287.57623100000,4857326.79660000000
2733,Point_3824,12.00000000000,Animal Location,3848,3848,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],316B,427319.76268600000,4857416.72884000000
2734,Point_3825,10.00000000000,Animal Location,3849,3849,-1,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],316C,427913.12838300000,4856891.51601000000
2735,Point_3826,4.00000000000,Animal Location,3850,3850,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],316D,427872.92284700000,4856673.19723000000
2736,Point_3827,5.00000000000,Animal Location,3851,3851,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],588A,426915.81300000000,4851833.00000000000
2737,Point_3828,8.50000000000,Animal Location,3852,3852,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],530A,424371.23561300000,4848168.71649000000
2738,Point_3829,12.00000000000,Animal Location,3853,3853,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],396A,429110.00000000000,4847760.00000000000
2739,Point_3830,12.00000000000,Animal Location,3854,3854,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],345A,434170.00000000000,4858280.00000000000
2740,Point_3831,10.00000000000,Animal Location,3855,3855,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],345B,434163.07000000000,4858121.30100000000
2741,Point_3832,4.50000000000,Animal Location,3856,3856,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],345C,434192.86700000000,4858229.89300000000
2742,Point_1946,12.00000000000,Animal Location,1946,1946,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],168A,435617.25853700000,4854497.91348000000
2743,Point_2041,12.00000000000,Animal Location,2041,2041,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],168B,435483.98946700000,4854072.83509000000
2744,Point_3833,12.00000000000,Animal Location,3857,3857,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],168C,435508.76431900000,4854126.94141000000
2745,Point_3834,12.00000000000,Animal Location,3858,3858,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],168D,435831.54600000000,4853954.29000000000
2746,Point_2276,12.00000000000,Animal Location,2276,2276,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],290A,435495.24236800000,4850646.24919000000
2747,Point_3835,10.00000000000,Animal Location,3859,3859,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],290B,435523.36700000000,4850932.31000000000
2748,Point_3836,10.00000000000,Animal Location,3860,3860,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],432A,438389.15800000000,4844162.84900000000
2749,Point_3837,3.00000000000,Animal Location,3861,3861,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],432B,438462.15800000000,4844244.27900000000
2750,Point_3838,8.50000000000,Animal Location,3862,3862,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],589A,445650.09999900000,4849174.53036000000
2774,Point_2284,12.00000000000,Animal Location,2284,2284,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],292A,453004.12304000000,4847188.25435000000
2775,Point_2313,12.00000000000,Animal Location,2313,2313,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],292B,452902.72298500000,4847192.22512000000
2776,Point_3862,4.00000000000,Animal Location,3863,3863,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],292C,452885.33451300000,4847079.83703000000
2777,Point_2195,12.00000000000,Animal Location,2195,2195,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],249A,445369.62017200000,4856277.79744000000
2778,Point_2129,12.00000000000,Animal Location,2129,2129,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],249B,445210.49323400000,4854657.87779000000
2779,Point_2233,12.00000000000,Animal Location,2233,2233,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],249C,445226.00000000000,4854560.00000000000
2780,Point_3863,2.00000000000,Animal Location,3864,3864,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],249D,445307.93096700000,4854714.76916000000
2781,Point_3864,12.00000000000,Animal Location,3865,3865,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],013F,439327.50508900000,4859026.33523000000
