nest_id,nest_id_num,status,nest_long_utm,nest_lat_utm
199C,1990003,intact,523142,4962981
199D,1990004,intact,523281,4963269
200A,2000001,intact,580573,5005730
201A,2010001,intact,547717,4914631
202D,2020004,intact,415826,4851874
203B,2030002,intact,467165,4951370
204B,2040002,intact,428558,4865804
205C,2050003,intact,558174,5018393
207E,2070005,intact,548737,5207360
209C,2090003,intact,459092,5045117
210B,2100002,intact,515921,4912080
210D,2100004,intact,518023,4912032
211D,2110004,intact,643165,4945765
212B,2120002,intact,450332,4875479
213A,2130001,intact,528843,5009476
214D,2140004,intact,531845,5052587
215D,2150004,intact,534114,4883141
216C,2160003,intact,471750,5158406
217C,2170003,intact,453880,4860678
218A,2180001,intact,648501,4968928
219B,2190002,intact,338830,4961490
220B,2200002,intact,512515,4950254
221C,2210003,intact,562264,4958421
222B,2220002,intact,622312,4969220
222D,2220004,intact,621136,4968677
224C,2240003,intact,638795,4943200
225B,2250002,intact,354759,4977094
226C,2260003,intact,550289,5213383
227C,2270003,intact,555464,5223550
228D,2280004,intact,537358,5186187
230B,2300002,intact,346508,4891174
231C,2310003,intact,457895,4974569
231D,2310004,intact,457685,4975095
232B,2320002,intact,632243,4949120
234A,2340001,intact,589704,5009610
235C,2350003,intact,485473,5143339
236A,2360001,intact,525673,5053904
236D,2360004,intact,524900,5051811
237A,2370001,intact,467821,4861880
238B,2380002,intact,484112,4870213
239B,2390002,intact,561022,4978010
240B,2400002,intact,446899,4863163
240C,2400003,intact,446789,4863292
241A,2410001,intact,560204,4919077
242B,2420002,intact,592471,4932978
244B,2440002,intact,434628,4923486
244C,2440003,intact,436278,4924729
245B,2450002,intact,505552,5052697
246C,2460003,intact,543731,4906821
248B,2480002,intact,540034,5064660
249D,2490004,intact,445308,4854715
250A,2500001,intact,506090,4909220
250B,2500002,intact,506078,4909119
251A,2510001,intact,455516,4935138
251D,2510004,intact,455926,4934950
252C,2520003,intact,352427,4971394
252E,2520005,intact,354631,4970747
252F,2520006,intact,354275,4970430
254C,2540003,intact,560224,4899330
256C,2560003,intact,610148,5007880
256E,2560005,intact,608069,5007686
257A,2570001,intact,424531,4854357
257B,2570002,intact,423730,4854464
258A,2580001,intact,577162,5017850
258C,2580003,intact,577137,5015762
259C,2590003,intact,604339,5005189
260A,2600001,intact,612211,5010860
260B,2600002,intact,610916,5012878
262C,2620003,intact,445217,4924265
263B,2630002,intact,645831,4964518
264A,2640001,intact,481438,5082150
266A,2660001,intact,627830,5000201
266B,2660002,intact,628354,4999664
267B,2670002,intact,591111,4919734
268C,2680003,intact,409272,4849370
269B,2690002,intact,549041,5042790
269C,2690003,intact,548378,5043091
270E,2700005,intact,474164,4942957
270F,2700006,intact,474396,4942318
271B,2710002,intact,500850,4931387
272C,2720003,intact,440346,4881756
272D,2720004,intact,440212,4882812
273B,2730002,intact,637533,5004296
274B,2740002,intact,403720,4892037
275D,2750004,intact,478471,4984100
275E,2750005,intact,476495,4985769
276D,2760004,intact,510898,4874960
277A,2770001,intact,528428,4972668
278B,2780002,intact,453722,4940161
278C,2780003,intact,453282,4939183
279C,2790003,intact,487783,5158434
280A,2800001,intact,440603,5059187
281A,2810001,intact,391353,5011110
282A,2820001,intact,367667,4946617
283B,2830002,intact,615182,5048950
285A,2850001,intact,509529,5062030
285B,2850002,intact,509337,5061660
286A,2860001,intact,555710,4920714
287B,2870002,intact,432686,4940307
288B,2880002,intact,612874,4943363
289C,2890003,intact,528211,5054803
290B,2900002,intact,435523,4850932
291A,2910001,intact,429562,4957600
292C,2920003,intact,452885,4847080
293B,2930002,intact,525726,4912501
294A,2940001,intact,510879,4884397
294B,2940002,intact,512026,4883245
295B,2950002,intact,471784,4868324
296A,2960001,intact,573715,4994834
297C,2970003,intact,571927,4911706
298C,2980003,intact,630234,4945668
299A,2990001,intact,553518,5058653
301C,3010003,intact,422456,5003958
302A,3020001,intact,396894,5004160
303B,3030002,intact,518150,4894388
303C,3030003,intact,518306,4894182
304D,3040004,intact,529629,5004358
305A,3050001,intact,533399,4962870
306A,3060001,intact,491551,4900089
306B,3060002,intact,491084,4900928
307C,3070003,intact,544758,4890949
308A,3080001,intact,449056,4918060
308B,3080002,intact,449076,4918021
308C,3080003,intact,448360,4917317
309B,3090002,intact,401476,5045840
310A,3100001,intact,576457,4911190
310B,3100002,intact,576477,4911185
312C,3120003,intact,521582,4908814
313D,3130004,intact,550718,4883014
314F,3140006,intact,541473,4901765
314G,3140007,intact,541562,4901841
315A,3150001,intact,592538,4932185
316C,3160003,intact,427913,4856892
316E,3160005,intact,427035,4856893
317B,3170002,intact,447488,4906476
318A,3180001,intact,513343,4979117
319B,3190002,intact,520389,4953096
321B,3210002,intact,453443,5140460
322A,3220001,intact,482815,5135327
323A,3230001,intact,540330,5029540
324B,3240002,intact,520668,4903231
325A,3250001,intact,513815,4945630
326B,3260002,intact,533497,4889555
327A,3270001,intact,533356,4940721
328A,3280001,intact,527656,4877806
328B,3280002,intact,527669,4877003
329A,3290001,intact,585915,4924792
330A,3300001,intact,526702,5128560
330B,3300002,intact,526512,5128624
331A,3310001,intact,534955,5013041
332A,3320001,intact,475421,5058580
333A,3330001,intact,421902,4902780
334A,3340001,intact,410227,4871635
334C,3340003,intact,410259,4871615
335A,3350001,intact,456598,4873530
335C,3350003,intact,456576,4873578
336A,3360001,intact,485676,4915841
337A,3370001,intact,586857,5183151
337B,3370002,intact,587016,5183018
338C,3380003,intact,530763,5018781
339B,3390002,intact,513448,4923150
339D,3390004,intact,511140,4921150
340E,3400005,intact,506252,4903438
341C,3410003,intact,416797,4927886
341D,3410004,intact,416646,4928206
343A,3430001,intact,508060,5151084
343B,3430002,intact,508268,5151362
344B,3440002,intact,572794,5104203
345B,3450002,intact,434163,4858121
345C,3450003,intact,434193,4858230
346B,3460002,intact,551499,4919476
348A,3480001,intact,515729,5168061
348B,3480002,intact,515481,5167933
349A,3490001,intact,469809,5130826
349B,3490002,intact,470842,5133111
350A,3500001,intact,568921,5044900
351A,3510001,intact,435313,4866116
351B,3510002,intact,435550,4865505
352B,3520002,intact,617521,4935381
352C,3520003,intact,617236,4935200
353D,3530004,intact,628817,4993153
354A,3540001,intact,505134,4984465
355B,3550002,intact,473944,5015454
357A,3570001,intact,527939,4984720
359C,3590003,intact,655726,4975678
360A,3600001,intact,561407,4948180
362C,3620003,intact,509119,4912183
363A,3630001,intact,506914,5125982
364B,3640002,intact,437506,5179785
365A,3650001,intact,348073,4958322
365B,3650002,intact,347940,4959595
366C,3660003,intact,651674,4957415
367A,3670001,intact,515545,5162343
368A,3680001,intact,473207,5120800
369A,3690001,intact,542238,4942895
370C,3700003,intact,540422,4888464
371A,3710001,intact,514081,4904350
372A,3720001,intact,587689,5098083
372B,3720002,intact,587635,5098666
373B,3730002,intact,597228,4929964
375C,3750003,intact,523195,4888520
376A,3760001,intact,386158,4858800
377A,3770001,intact,421975,5008617
378A,3780001,intact,616444,4982460
379C,3790003,intact,430559,4863058
379D,3790004,intact,430070,4862212
380B,3800002,intact,430816,4981666
381A,3810001,intact,646299,4971740
381B,3810002,intact,645913,4972025
382A,3820001,intact,486337,4955890
383A,3830001,intact,451996,4913290
384A,3840001,intact,581748,5070056
385A,3850001,intact,516432,5053892
386B,3860002,intact,538810,5027179
387A,3870001,intact,543015,5048335
389A,3890001,intact,471556,5071091
390B,3900002,intact,485325,5108996
391E,3910005,intact,533315,4899677
392A,3920001,intact,504119,4959000
393A,3930001,intact,523408,4937178
394C,3940003,intact,525129,4902598
395B,3950002,intact,489990,4858972
396A,3960001,intact,429110,4847760
397B,3970002,intact,430446,4890083
398B,3980002,intact,363521,4976943
399A,3990001,intact,582552,5168290
400A,4000001,intact,469088,4874008
401B,4010002,intact,592722,4926205
402A,4020001,intact,539131,4883520
403A,4030001,intact,470018,4893462
403B,4030002,intact,470618,4893827
404A,4040001,intact,470568,4904209
405A,4050001,intact,404875,4909882
406B,4060002,intact,476701,4883813
407B,4070002,intact,412056,4890970
407D,4070004,intact,412233,4890971
408B,4080002,intact,403080,4889238
408D,4080004,intact,403044,4889584
409A,4090001,intact,478436,4893748
410B,4100002,intact,428927,4908583
410C,4100003,intact,429429,4909193
410D,4100004,intact,428978,4907335
412B,4120002,intact,404228,4926554
413A,4130001,intact,656628,4973970
414A,4140001,intact,445201,4957377
414B,4140002,intact,445216,4957465
416A,4160001,intact,438398,4931007
416B,4160002,intact,438527,4931488
417B,4170002,intact,558055,4935046
418A,4180001,intact,601129,4942133
418B,4180002,intact,601409,4942314
418C,4180003,intact,601278,4941742
419B,4190002,intact,595465,4937357
420B,4200002,intact,588601,4921173
421A,4210001,intact,521862,4921804
422A,4220001,intact,522399,4917652
422B,4220002,intact,521455,4917196
422C,4220003,intact,521665,4917901
423A,4230001,intact,475038,4928344
424A,4240001,intact,442011,4863528
425B,4250002,intact,649033,4967783
426A,4260001,intact,649447,4970734
427A,4270001,intact,637618,4940940
428A,4280001,intact,620312,4937477
429D,4290004,intact,544000,4891861
429E,4290005,intact,543148,4892383
431A,4310001,intact,446111,4870679
432B,4320002,intact,438462,4844244
433B,4330002,intact,415787,4979208
434C,4340003,intact,461071,5037838
435A,4350001,intact,592764,4935364
436A,4360001,intact,408952,5054623
437A,4370001,intact,565884,4967431
439A,4390001,intact,499225,5063724
441A,4410001,intact,462270,5111001
442A,4420001,intact,637238,4961895
444A,4440001,intact,398900,5052519
445A,4450001,intact,558468,4903647
446A,4460001,intact,593822,5030836
447A,4470001,intact,544920,5212787
448A,4480001,intact,543272,5031697
449A,4490001,intact,553687,5081661
450A,4500001,intact,536491,5125532
451B,4510002,intact,425497,4862548
452A,4520001,intact,597243,4956956
453B,4530002,intact,360549,4867556
454A,4540001,intact,390304,4877521
455A,4550001,intact,580427,5172332
456A,4560001,intact,531940,4948416
456B,4560002,intact,531679,4948332
457A,4570001,intact,525798,4967928
457B,4570002,intact,525344,4967564
458A,4580001,intact,551000,4924844
459C,4590003,intact,430793,4867605
459D,4590004,intact,430793,4867585
460A,4600001,intact,529565,4998727
461A,4610001,intact,514903,5066218
462A,4620001,intact,521112,5039854
463A,4630001,intact,533713,4980102
464A,4640001,intact,516513,4957120
465A,4650001,intact,454502,4896875
465B,4650002,intact,453917,4896722
466A,4660001,intact,395509,4924845
466B,4660002,intact,395400,4925023
