"","dates.QC","Field1","Plot.QA.QC","ObsID","SignProtection.","Landowner","PK_NestSite","IntactDuringLastYearObs.","FK_NestArea","NestSiteName","YearLastMonitored","YearLastNestIntact","YearLastEagleOccupancy","YearFirstMonitored","HistoryComments","LandscapeHabitat","EH","FK_Geocode","County","IFWRegion","State.Province","Species","DBH","DateSiteEvaluation","TreeCondition","NestTreeStandProminence","NestTreeComments","Former.MDIFW.nest..","EO.Code....","Former.USFWS.nest..","Former.NAS.nest..","Comments.nest...change","Former.USFWS.nest..1","Former.NAS.nest..1","Comments.nest...change1","Former.USFWS.nest..11","Former.NAS.nest..11","Comments.nest...change11","Edits.","nest_id","OBJECTID","PointID","Accuracy","Type","ObsID_1","EO_ID","Year","Month","Day","TimeStart","TimeEnd","UseID","ExtDB","ExtDBID","ExtJoinFie","ExtJoinVal","POINT_X","POINT_Y"
"13",TRUE,NA,TRUE,2277,"","","004B","No",4,"Vaughn Brook upland",2013,1999,1999,1999,"","coastal","BE004B",11110,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-718","","","",NA,NA,NA,NA,NA,NA,"","004B",2992,"Point_2277",12,"Animal Location",2277,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","004B",436657,4902860
"14",TRUE,NA,TRUE,2308,"","","004C","Yes",4,"Vaughn Brook upland",2014,2014,2014,2000,"","coastal","BE004C",11110,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-749","","","",NA,NA,NA,NA,NA,NA,"","004C",2991,"Point_2308",12,"Animal Location",2308,6333,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","004C",436616,4902570
"15",TRUE,NA,TRUE,1573,"","","005B","No",5,"Nehumkeag Island",2014,1979,1974,1970,"","coastal","BE005B",11100,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-014","41 (1972 - 1973); 6 (1974 - 1976)","KE-2A (< 1971)","",NA,NA,NA,NA,NA,NA,"","005B",2983,"Point_1573",12,"Animal Location",1573,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","005B",439421,4890980
"16",TRUE,NA,TRUE,1574,"","","005C","No",5,"Nehumkeag Island",2014,1963,NA,1962,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","BE005C",11100,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-015","","KE-1 (< 1971)","",NA,NA,NA,NA,NA,NA,"","005C",2984,"Point_1574",12,"Animal Location",1574,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","005C",439359,4890880
"17",TRUE,NA,TRUE,3892,"","","005D","Yes",5,"Nehumkeag Island",2014,2014,2014,2001,"","coastal","BE005D",11100,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","supercanopy","","","","","","",NA,NA,NA,NA,NA,NA,"","005D",2985,"Point_4021",12,"Animal Location",3892,0,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","005D",439363,4890910
"18",TRUE,NA,TRUE,1572,"","","006A","No",6,"Nehumkeag Pond shoreline",2013,1976,1968,1962,"","coastal","BE006A",11170,"Kennebec","B","ME","northern red oak",77.9,"6/10/1977","alive - top intact","dominant","","005A (1977 - 2008)","ABNKC10010-013","41A (1972 - 1973); 5 (1974 - 1976)","KE-2 (< 1971)","",NA,NA,NA,NA,NA,NA,"","006A",2986,"Point_1572",12,"Animal Location",1572,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","006A",442656,4892090
"19",TRUE,NA,TRUE,3891,"","","006B","Yes",6,"Bailey Corner vicinity shoreline",2014,2014,2014,2009,"","coastal","BE006B",11170,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","006B",2982,"Point_4020",11.5,"Animal Location",3891,0,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","006B",439961.622,4891874.983
"20",TRUE,NA,TRUE,1575,"managed property with minimal threat from river","MDIFW - Swan Island WMA","007A","Yes",7,"Little Swan Island",2014,2014,2013,1964,"","coastal","BE007A",23801,"Sagadahoc","B","ME","eastern white pine",93.5,"6/8/1977","alive - top intact","supercanopy","","","ABNKC10010-016","64 (1972 - 1973); 7 (1974 - 1976)","SA-14 (< 1971)","",NA,NA,NA,NA,NA,NA,"","007A",2971,"Point_1575",12,"Animal Location",1575,214,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","007A",436986,4880270
"21",TRUE,NA,TRUE,1576,"","","007B","No",7,"Swan Island upland",2013,1983,1969,1962,"","coastal","BE007B",23801,"Sagadahoc","B","ME","eastern white pine",91.7,"6/9/1977","dead - top broken","supercanopy","","","ABNKC10010-017","13 (1972 - 1973); 8 (1974 - 1976)","SA-1 (< 1971)","",NA,NA,NA,NA,NA,NA,"","007B",2973,"Point_1576",12,"Animal Location",1576,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","007B",436453,4879710
"22",TRUE,NA,TRUE,1577,"","","007C","No",7,"Swan Island",2013,1968,1968,1966,"","coastal","BE007C",23801,"Sagadahoc","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-018","","SA-14A (< 1971)","",NA,NA,NA,NA,NA,NA,"","007C",2972,"Point_1577",12,"Animal Location",1577,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","007C",437126,4880170
