project,project_num,name,faa_lit,long,lat,pad_elv_ft,strc_ht_ft,tot_elv_ft,model,hub_ht_m,airport,latitude,longitude
Mars Hill,2,20,SFRL,-67.81491493,46.53506646,1544,389,1933,GE 1.5MW SLE,80,Mars Hill Airport,"46° 32' 6.239"" N","67° 48' 53.694"" W"
Mars Hill,2,21,NONE,-67.81608548,46.53281069,1410,389,1799,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 58.118"" N","67° 48' 57.908"" W"
Mars Hill,2,22,NONE,-67.81689807,46.53082118,1469,389,1858,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 50.956"" N","67° 49' 0.833"" W"
Mars Hill,2,23,SFRL,-67.81380048,46.52903116,1561,389,1950,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 44.512"" N","67° 48' 49.682"" W"
Mars Hill,2,24,NONE,-67.81516678,46.52761992,1550,389,1939,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 39.432"" N","67° 48' 54.600"" W"
Mars Hill,2,25,NONE,-67.81428511,46.52566939,1594,389,1983,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 32.410"" N","67° 48' 51.426"" W"
Mars Hill,2,26,NONE,-67.81364926,46.5231339,1627,389,2016,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 23.282"" N","67° 48' 49.137"" W"
Mars Hill,2,27,SFRL,-67.81328694,46.52061925,1710,389,2099,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 14.229"" N","67° 48' 47.833"" W"
Mars Hill,2,28,SFRL,-67.81389473,46.51905062,1616,389,2005,GE 1.5MW SLE,80,Mars Hill Airport,"46° 31' 8.582"" N","67° 48' 50.021"" W"
Rollins,3,1,SFRL,-68.38130282,45.41551267,625,389,1014,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 55.83""","W 68° 22' 52.69"""
Rollins,3,2,NONE,-68.37989285,45.41365546,652,389,1041,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 49.16""","W 68° 22' 47.61"""
Rollins,3,3,SFRL,-68.37933157,45.41132976,608,389,997,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 40.79""","W 68° 22' 45.59"""
Rollins,3,4,SFRL,-68.36656695,45.40417679,741,389,1130,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 15.04""","W 68° 21' 59.64"""
Rollins,3,5,SFRL,-68.36092479,45.40256028,793,389,1182,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 09.22""","W 68° 21' 39.33"""
Rollins,3,6,NONE,-68.36133244,45.40027676,800,389,1189,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 24' 01.00""","W 68° 21' 40.80"""
Rollins,3,7,NONE,-68.36146559,45.39756744,790,389,1179,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 51.25""","W 68° 21' 41.28"""
Rollins,3,8,SFRL,-68.36152725,45.39538053,868,389,1257,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 43.37""","W 68° 21' 41.50"""
Rollins,3,9,NONE,-68.3619511,45.39303366,919,389,1308,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 34.92""","W 68° 21' 43.02"""
Rollins,3,10,NONE,-68.3635139,45.3903326,994,389,1383,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 25.20""","W 68° 21' 48.65"""
Rollins,3,11,SFRL,-68.36411659,45.38792403,1004,389,1393,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 16.53""","W 68° 21' 50.82"""
Rollins,3,12,NONE,-68.36425832,45.38558404,861,389,1250,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 08.11""","W 68° 21' 51.33"""
Rollins,3,13,NONE,-68.36484405,45.38339133,873,389,1262,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 23' 00.21""","W 68° 21' 53.44"""
Rollins,3,14,SFRL,-68.36811945,45.38167258,771,389,1160,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 22' 54.02""","W 68° 22' 05.23"""
Rollins,3,15,SFRL,-68.36237381,45.37931831,806,389,1195,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 22' 45.55""","W 68° 21' 44.55"""
Rollins,3,16,NONE,-68.35978063,45.37703386,855,389,1244,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 22' 37.33""","W 68° 21' 35.21"""
Rollins,3,17,NONE,-68.36461314,45.37434392,919,389,1308,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 22' 27.64""","W 68° 21' 52.61"""
Rollins,3,18,SFRL,-68.3640866,45.37229773,842,389,1231,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 22' 20.27""","W 68° 21' 50.71"""
Rollins,3,19,SFRL,-68.37708694,45.33282508,830,389,1219,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 58.18""","W 68° 22' 37.51"""
Rollins,3,20,NONE,-68.37880746,45.33077455,896,389,1285,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 50.79""","W 68° 22' 43.70"""
Rollins,3,21,SFRL,-68.38250085,45.32908578,857,389,1246,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 44.70""","W 68° 22' 57.00"""
Rollins,3,22,SFRL,-68.38429054,45.33234346,761,389,1150,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 56.44""","W 68° 23' 03.44"""
Rollins,3,23,SFRL,-68.398728,45.32708263,634,389,1023,GE 1.5MW SLE,80,Lincoln Regional,"N 45° 19' 37.50""","W 68° 23' 55.42"""
