developer,project,turbine_id,model,hub_ht_m,rotor_diam,rotor_top,rotor_btm,pad_elev_m,sweep_top,sweep_btm,long,lat
First Wind,Rollins,13,GE SLE 1.5MW,80,77,119,42,264,382,305,-68.36484405,45.38339133
First Wind,Rollins,14,GE SLE 1.5MW,80,77,119,42,233,352,275,-68.36811945,45.38167258
First Wind,Rollins,15,GE SLE 1.5MW,80,77,119,42,243,361,284,-68.36237381,45.37931831
First Wind,Rollins,16,GE SLE 1.5MW,80,77,119,42,259,378,301,-68.35978063,45.37703386
First Wind,Rollins,17,GE SLE 1.5MW,80,77,119,42,278,396,319,-68.36461314,45.37434392
First Wind,Rollins,18,GE SLE 1.5MW,80,77,119,42,257,375,298,-68.3640866,45.37229773
First Wind,Rollins,19,GE SLE 1.5MW,80,77,119,42,253,372,295,-68.37708694,45.33282508
First Wind,Rollins,20,GE SLE 1.5MW,80,77,119,42,271,389,312,-68.37880746,45.33077455
First Wind,Rollins,21,GE SLE 1.5MW,80,77,119,42,261,380,303,-68.38250085,45.32908578
First Wind,Rollins,22,GE SLE 1.5MW,80,77,119,42,234,352,275,-68.38429054,45.33234346
First Wind,Rollins,23,GE SLE 1.5MW,80,77,119,42,194,313,236,-68.398728,45.32708263
First Wind,Rollins,24,GE SLE 1.5MW,80,77,119,42,210,329,252,-68.3977425,45.3249801
First Wind,Rollins,25,GE SLE 1.5MW,80,77,119,42,230,349,272,-68.39642425,45.32296676
First Wind,Rollins,26,GE SLE 1.5MW,80,77,119,42,271,390,313,-68.39322296,45.32162452
First Wind,Rollins,27,GE SLE 1.5MW,80,77,119,42,264,382,305,-68.39383798,45.31904619
First Wind,Rollins,28,GE SLE 1.5MW,80,77,119,42,181,299,222,-68.39096018,45.31133309
First Wind,Rollins,29,GE SLE 1.5MW,80,77,119,42,215,334,257,-68.3871497,45.30854988
First Wind,Rollins,30,GE SLE 1.5MW,80,77,119,42,218,337,260,-68.38382451,45.3057957
First Wind,Rollins,31,GE SLE 1.5MW,80,77,119,42,208,327,250,-68.38782037,45.303214
First Wind,Rollins,32,GE SLE 1.5MW,80,77,119,42,204,323,246,-68.39287374,45.30176646
First Wind,Rollins,33,GE SLE 1.5MW,80,77,119,42,216,334,257,-68.39645309,45.29985023
First Wind,Rollins,34,GE SLE 1.5MW,80,77,119,42,218,336,259,-68.39405202,45.29658685
First Wind,Rollins,35,GE SLE 1.5MW,80,77,119,42,245,363,286,-68.39304353,45.2943676
First Wind,Rollins,36,GE SLE 1.5MW,80,77,119,42,251,370,293,-68.39118503,45.29273762
First Wind,Rollins,37,GE SLE 1.5MW,80,77,119,42,178,296,219,-68.40374399,45.28199365
First Wind,Rollins,38,GE SLE 1.5MW,80,77,119,42,198,316,239,-68.40077033,45.28105973
First Wind,Rollins,39,GE SLE 1.5MW,80,77,119,42,202,321,244,-68.39856924,45.27939209
First Wind,Rollins,40,GE SLE 1.5MW,80,77,119,42,173,291,214,-68.39658566,45.27647415
First Wind,Stetson I,1,GE SLE 1.5MW,80,77,119,42,238,357,280,-67.99456409,45.48243821
First Wind,Stetson I,2,GE SLE 1.5MW,80,77,119,42,235,354,277,-67.99344372,45.48554191
First Wind,Stetson I,3,GE SLE 1.5MW,80,77,119,42,230,348,271,-67.99069488,45.48832725
First Wind,Stetson I,4,GE SLE 1.5MW,80,77,119,42,253,372,295,-67.98658394,45.48984651
First Wind,Stetson I,5,GE SLE 1.5MW,80,77,119,42,272,391,314,-67.98782028,45.49244972
First Wind,Stetson I,6,GE SLE 1.5MW,80,77,119,42,290,409,332,-67.98709324,45.49515422
First Wind,Stetson I,7,GE SLE 1.5MW,80,77,119,42,287,406,329,-67.98674785,45.4972308
First Wind,Stetson I,8,GE SLE 1.5MW,80,77,119,42,287,406,329,-67.9852281,45.49909673
First Wind,Stetson I,9,GE SLE 1.5MW,80,77,119,42,289,408,331,-67.98492325,45.50108313
First Wind,Stetson I,10,GE SLE 1.5MW,80,77,119,42,301,420,343,-67.98473015,45.5033502
First Wind,Stetson I,11,GE SLE 1.5MW,80,77,119,42,298,417,340,-67.98436581,45.50582167
First Wind,Stetson I,12,GE SLE 1.5MW,80,77,119,42,290,409,332,-67.98324272,45.50838788
